accession,taxon_1,taxon_2,taxon_3,taxon_4,taxon_5,taxon_6,taxon_7,taxon_8,taxon_9,taxon_10,name,source,env_material,env_biome,biotic_relationship,specific_host,host_name,geo_loc_name,publication,authors,journal,organism_gb,clone_gb ,environment_gb,host_gb,country_gb,publication_gb,authors_gb,journal_gb
AJ532456.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Euglenophyceae,Euglenea,Phacaceae,Lepocinclis,Lepocinclis tripteris,Lepocinclis tripteris SAG 1224-16,culture,water (ENVO:00002006),freshwater biome (ENVO:00000873),free-living,NA,NA,United Kingdom: Cambridge,Phylogeny and taxonomic revision of plastid-containing euglenophytes based on SSU rDNA sequence comparisons and synapomorphic signatures in the SSU rRNA secondary structure,"Marin,B., Palm,A., Klingberg,M. and Melkonian,M.","Protist 154 (1), 99-145 (2003)",Lepocinclis tripteris,NA,NA,NA,NA,Phylogeny and taxonomic revision of plastid-containing euglenophytes based on SSU rDNA sequence comparisons and synapomorphic signatures in the SSU rRNA secondary structure,"Marin,B., Palm,A., Klingberg,M. and Melkonian,M.","Protist 154 (1), 99-145 (2003)"
AJ532457.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Euglenophyceae,Euglenea,Phacaceae,Lepocinclis,Lepocinclis acus,Euglena acus var. gracilis SAG 1224-1d,culture,water (ENVO:00002006),freshwater biome (ENVO:00000873),free-living,NA,NA,United Kingdom: Barton,Phylogeny and taxonomic revision of plastid-containing euglenophytes based on SSU rDNA sequence comparisons and synapomorphic signatures in the SSU rRNA secondary structure,"Marin,B., Palm,A., Klingberg,M. and Melkonian,M.","Protist 154 (1), 99-145 (2003)",Euglena acus var. gracilis,NA,NA,NA,NA,Phylogeny and taxonomic revision of plastid-containing euglenophytes based on SSU rDNA sequence comparisons and synapomorphic signatures in the SSU rRNA secondary structure,"Marin,B., Palm,A., Klingberg,M. and Melkonian,M.","Protist 154 (1), 99-145 (2003)"
AJ532458.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Euglenophyceae,Euglenea,Phacaceae,Lepocinclis,Lepocinclis acus,Lepocinclis acus ASW 08037,culture,NA,NA,free-living,NA,NA,NA,Phylogeny and taxonomic revision of plastid-containing euglenophytes based on SSU rDNA sequence comparisons and synapomorphic signatures in the SSU rRNA secondary structure,"Marin,B., Palm,A., Klingberg,M. and Melkonian,M.","Protist 154 (1), 99-145 (2003)",Lepocinclis acus,NA,NA,NA,NA,Phylogeny and taxonomic revision of plastid-containing euglenophytes based on SSU rDNA sequence comparisons and synapomorphic signatures in the SSU rRNA secondary structure,"Marin,B., Palm,A., Klingberg,M. and Melkonian,M.","Protist 154 (1), 99-145 (2003)"
AJ532459.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Euglenophyceae,Euglenea,Phacaceae,Lepocinclis,Lepocinclis acus,Lepocinclis acus SAG 1224-1a,culture,pond water (ENVO:00002228),freshwater pool (ENVO missing),free-living,NA,NA,Slovakia: Svaty Kriz,Phylogeny and taxonomic revision of plastid-containing euglenophytes based on SSU rDNA sequence comparisons and synapomorphic signatures in the SSU rRNA secondary structure,"Marin,B., Palm,A., Klingberg,M. and Melkonian,M.","Protist 154 (1), 99-145 (2003)",Lepocinclis acus,NA,NA,NA,NA,Phylogeny and taxonomic revision of plastid-containing euglenophytes based on SSU rDNA sequence comparisons and synapomorphic signatures in the SSU rRNA secondary structure,"Marin,B., Palm,A., Klingberg,M. and Melkonian,M.","Protist 154 (1), 99-145 (2003)"
AJ532460.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Euglenophyceae,Euglenea,Phacaceae,Lepocinclis,Lepocinclis acus,Lepocinclis acus var. major SAG 1224-1b,culture,fresh water (ENVO:00002011),freshwater biome (ENVO:00000873),free-living,NA,NA,United Kingdom: Cambridge,Phylogeny and taxonomic revision of plastid-containing euglenophytes based on SSU rDNA sequence comparisons and synapomorphic signatures in the SSU rRNA secondary structure,"Marin,B., Palm,A., Klingberg,M. and Melkonian,M.","Protist 154 (1), 99-145 (2003)",Lepocinclis acus var. major,NA,NA,NA,NA,Phylogeny and taxonomic revision of plastid-containing euglenophytes based on SSU rDNA sequence comparisons and synapomorphic signatures in the SSU rRNA secondary structure,"Marin,B., Palm,A., Klingberg,M. and Melkonian,M.","Protist 154 (1), 99-145 (2003)"
AJ532461.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Euglenophyceae,Euglenea,Phacaceae,Lepocinclis,Lepocinclis spirogyroides,Lepocinclis spirogyroides ASW 08026,culture,river water (ENVO missing),freshwater river biome (ENVO:01000253),free-living,NA,NA,Austria: Pulkau river,Phylogeny and taxonomic revision of plastid-containing euglenophytes based on SSU rDNA sequence comparisons and synapomorphic signatures in the SSU rRNA secondary structure,"Marin,B., Palm,A., Klingberg,M. and Melkonian,M.","Protist 154 (1), 99-145 (2003)",Lepocinclis spirogyroides,NA,NA,NA,NA,Phylogeny and taxonomic revision of plastid-containing euglenophytes based on SSU rDNA sequence comparisons and synapomorphic signatures in the SSU rRNA secondary structure,"Marin,B., Palm,A., Klingberg,M. and Melkonian,M.","Protist 154 (1), 99-145 (2003)"
AJ532462.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Euglenophyceae,Euglenea,Phacaceae,Lepocinclis,Lepocinclis spirogyroides,Lepocinclis spirogyroides SAG 1224-13b,culture,fresh water (ENVO:00002011),freshwater biome (ENVO:00000873),free-living,NA,NA,Germany: Bad Driburg,Phylogeny and taxonomic revision of plastid-containing euglenophytes based on SSU rDNA sequence comparisons and synapomorphic signatures in the SSU rRNA secondary structure,"Marin,B., Palm,A., Klingberg,M. and Melkonian,M.","Protist 154 (1), 99-145 (2003)",Lepocinclis spirogyroides,NA,NA,NA,NA,Phylogeny and taxonomic revision of plastid-containing euglenophytes based on SSU rDNA sequence comparisons and synapomorphic signatures in the SSU rRNA secondary structure,"Marin,B., Palm,A., Klingberg,M. and Melkonian,M.","Protist 154 (1), 99-145 (2003)"
AJ532463.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Euglenophyceae,Euglenea,Phacaceae,Lepocinclis,Lepocinclis spirogyroides,Lepocinclis spirogyroides ASW 08002,culture,fresh water (ENVO:00002011),freshwater biome (ENVO:00000873),free-living,NA,NA,Austria: Egelsee,Phylogeny and taxonomic revision of plastid-containing euglenophytes based on SSU rDNA sequence comparisons and synapomorphic signatures in the SSU rRNA secondary structure,"Marin,B., Palm,A., Klingberg,M. and Melkonian,M.","Protist 154 (1), 99-145 (2003)",Lepocinclis spirogyroides,NA,NA,NA,NA,Phylogeny and taxonomic revision of plastid-containing euglenophytes based on SSU rDNA sequence comparisons and synapomorphic signatures in the SSU rRNA secondary structure,"Marin,B., Palm,A., Klingberg,M. and Melkonian,M.","Protist 154 (1), 99-145 (2003)"
AJ532464.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Euglenophyceae,Euglenea,Phacaceae,Lepocinclis,Lepocinclis spirogyroides,Lepocinclis oxyuris SAG 1224-10b,culture,pond water (ENVO:00002228),freshwater pool (ENVO missing),free-living,NA,NA,Germany: Goettingen,Phylogeny and taxonomic revision of plastid-containing euglenophytes based on SSU rDNA sequence comparisons and synapomorphic signatures in the SSU rRNA secondary structure,"Marin,B., Palm,A., Klingberg,M. and Melkonian,M.","Protist 154 (1), 99-145 (2003)",Lepocinclis oxyuris,NA,NA,NA,NA,Phylogeny and taxonomic revision of plastid-containing euglenophytes based on SSU rDNA sequence comparisons and synapomorphic signatures in the SSU rRNA secondary structure,"Marin,B., Palm,A., Klingberg,M. and Melkonian,M.","Protist 154 (1), 99-145 (2003)"
AJ532465.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Euglenophyceae,Euglenea,Phacaceae,Phacus,Phacus smulkowskianus,Phacus similis M1306,culture,pond water (ENVO:00002228),pond (ENVO:00000033),free-living,NA,NA,Germany: Kall,Phylogeny and taxonomic revision of plastid-containing euglenophytes based on SSU rDNA sequence comparisons and synapomorphic signatures in the SSU rRNA secondary structure,"Marin,B., Palm,A., Klingberg,M. and Melkonian,M.","Protist 154 (1), 99-145 (2003)",Phacus similis,NA,NA,NA,NA,Phylogeny and taxonomic revision of plastid-containing euglenophytes based on SSU rDNA sequence comparisons and synapomorphic signatures in the SSU rRNA secondary structure,"Marin,B., Palm,A., Klingberg,M. and Melkonian,M.","Protist 154 (1), 99-145 (2003)"
AJ532466.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Euglenophyceae,Euglenea,Phacaceae,Phacus,Phacus smulkowskianus,Phacus similis M1305,culture,pond water (ENVO:00002228),pond (ENVO:00000033),free-living,NA,NA,Germany: Kall,Phylogeny and taxonomic revision of plastid-containing euglenophytes based on SSU rDNA sequence comparisons and synapomorphic signatures in the SSU rRNA secondary structure,"Marin,B., Palm,A., Klingberg,M. and Melkonian,M.","Protist 154 (1), 99-145 (2003)",Phacus similis,NA,NA,NA,NA,Phylogeny and taxonomic revision of plastid-containing euglenophytes based on SSU rDNA sequence comparisons and synapomorphic signatures in the SSU rRNA secondary structure,"Marin,B., Palm,A., Klingberg,M. and Melkonian,M.","Protist 154 (1), 99-145 (2003)"
AJ532468.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Euglenophyceae,Euglenea,Phacaceae,Phacus,Phacus skujae,Phacus oscillans CCAC 0089,culture,fresh water (ENVO:00002011),freshwater biome (ENVO:00000873),free-living,NA,NA,Germany: Spessart: Greifengrundweiher,Phylogeny and taxonomic revision of plastid-containing euglenophytes based on SSU rDNA sequence comparisons and synapomorphic signatures in the SSU rRNA secondary structure,"Marin,B., Palm,A., Klingberg,M. and Melkonian,M.","Protist 154 (1), 99-145 (2003)",Phacus oscillans,NA,NA,NA,NA,Phylogeny and taxonomic revision of plastid-containing euglenophytes based on SSU rDNA sequence comparisons and synapomorphic signatures in the SSU rRNA secondary structure,"Marin,B., Palm,A., Klingberg,M. and Melkonian,M.","Protist 154 (1), 99-145 (2003)"
AJ532469.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Euglenophyceae,Euglenea,Phacaceae,Phacus,Phacus skujae,Phacus oscillans CCAP 1261/10,culture,NA,NA,free-living,NA,NA,NA,Phylogeny and taxonomic revision of plastid-containing euglenophytes based on SSU rDNA sequence comparisons and synapomorphic signatures in the SSU rRNA secondary structure,"Marin,B., Palm,A., Klingberg,M. and Melkonian,M.","Protist 154 (1), 99-145 (2003)",Phacus oscillans,NA,NA,NA,NA,Phylogeny and taxonomic revision of plastid-containing euglenophytes based on SSU rDNA sequence comparisons and synapomorphic signatures in the SSU rRNA secondary structure,"Marin,B., Palm,A., Klingberg,M. and Melkonian,M.","Protist 154 (1), 99-145 (2003)"
AJ532470.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Euglenophyceae,Euglenea,Phacaceae,Phacus,Phacus pusillus,Phacus pusillus M1684,culture,sediment (ENVO:00002007),ditch (ENVO:00000037),free-living,NA,NA,Germany: Bonn: Poppelsdorfer Schloss: ditch,Phylogeny and taxonomic revision of plastid-containing euglenophytes based on SSU rDNA sequence comparisons and synapomorphic signatures in the SSU rRNA secondary structure,"Marin,B., Palm,A., Klingberg,M. and Melkonian,M.","Protist 154 (1), 99-145 (2003)",Phacus pusillus,NA,NA,NA,NA,Phylogeny and taxonomic revision of plastid-containing euglenophytes based on SSU rDNA sequence comparisons and synapomorphic signatures in the SSU rRNA secondary structure,"Marin,B., Palm,A., Klingberg,M. and Melkonian,M.","Protist 154 (1), 99-145 (2003)"
AJ532471.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Euglenophyceae,Euglenea,Phacaceae,Phacus,Phacus pusillus,Phacus pusillus SAG 1261-5,culture,fresh water (ENVO:00002011),freshwater biome (ENVO:00000873),free-living,NA,NA,United Kingdom: Grantchester meadows ,Phylogeny and taxonomic revision of plastid-containing euglenophytes based on SSU rDNA sequence comparisons and synapomorphic signatures in the SSU rRNA secondary structure,"Marin,B., Palm,A., Klingberg,M. and Melkonian,M.","Protist 154 (1), 99-145 (2003)",Phacus pusillus,NA,NA,NA,NA,Phylogeny and taxonomic revision of plastid-containing euglenophytes based on SSU rDNA sequence comparisons and synapomorphic signatures in the SSU rRNA secondary structure,"Marin,B., Palm,A., Klingberg,M. and Melkonian,M.","Protist 154 (1), 99-145 (2003)"
AJ532472.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Euglenophyceae,Euglenea,Phacaceae,Phacus,Phacus parvulus,Phacus pusillus ACOI 1093,culture,fresh water (ENVO:00002011),freshwater biome (ENVO:00000873),free-living,NA,NA,Portugal: Castelo Branco: Penamacor,Phylogeny and taxonomic revision of plastid-containing euglenophytes based on SSU rDNA sequence comparisons and synapomorphic signatures in the SSU rRNA secondary structure,"Marin,B., Palm,A., Klingberg,M. and Melkonian,M.","Protist 154 (1), 99-145 (2003)",Phacus pusillus,NA,NA,NA,NA,Phylogeny and taxonomic revision of plastid-containing euglenophytes based on SSU rDNA sequence comparisons and synapomorphic signatures in the SSU rRNA secondary structure,"Marin,B., Palm,A., Klingberg,M. and Melkonian,M.","Protist 154 (1), 99-145 (2003)"
AJ532473.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Euglenophyceae,Euglenea,Phacaceae,Phacus,Phacus hamatus,Phacus pleuronectes ASW 08032,culture,fresh water (ENVO:00002011),freshwater lake biome (ENVO:01000252),free-living,NA,NA,Austria: Bay of Rust: Seeterrasse: Lake Neusiedlersee,Phylogeny and taxonomic revision of plastid-containing euglenophytes based on SSU rDNA sequence comparisons and synapomorphic signatures in the SSU rRNA secondary structure,"Marin,B., Palm,A., Klingberg,M. and Melkonian,M.","Protist 154 (1), 99-145 (2003)",Phacus pleuronectes,NA,NA,NA,NA,Phylogeny and taxonomic revision of plastid-containing euglenophytes based on SSU rDNA sequence comparisons and synapomorphic signatures in the SSU rRNA secondary structure,"Marin,B., Palm,A., Klingberg,M. and Melkonian,M.","Protist 154 (1), 99-145 (2003)"
AJ532474.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Euglenophyceae,Euglenea,Phacaceae,Phacus,Phacus platyaulax,Phacus platyaulax ASW 08027,culture,fresh water (ENVO:00002011),freshwater biome (ENVO:00000873),free-living,NA,NA,Austria: Moerbisch: Lake Neusiedlersee,Phylogeny and taxonomic revision of plastid-containing euglenophytes based on SSU rDNA sequence comparisons and synapomorphic signatures in the SSU rRNA secondary structure,"Marin,B., Palm,A., Klingberg,M. and Melkonian,M.","Protist 154 (1), 99-145 (2003)",Phacus platyaulax,NA,NA,NA,NA,Phylogeny and taxonomic revision of plastid-containing euglenophytes based on SSU rDNA sequence comparisons and synapomorphic signatures in the SSU rRNA secondary structure,"Marin,B., Palm,A., Klingberg,M. and Melkonian,M.","Protist 154 (1), 99-145 (2003)"
AJ532475.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Euglenophyceae,Euglenea,Phacaceae,Phacus,Phacus pleuronectes,Phacus pleuronectes SAG 1261-3b,culture,fresh water (ENVO:00002011),freshwater biome (ENVO:00000873),free-living,NA,NA,United Kingdom,Phylogeny and taxonomic revision of plastid-containing euglenophytes based on SSU rDNA sequence comparisons and synapomorphic signatures in the SSU rRNA secondary structure,"Marin,B., Palm,A., Klingberg,M. and Melkonian,M.","Protist 154 (1), 99-145 (2003)",Phacus pleuronectes,NA,NA,NA,NA,Phylogeny and taxonomic revision of plastid-containing euglenophytes based on SSU rDNA sequence comparisons and synapomorphic signatures in the SSU rRNA secondary structure,"Marin,B., Palm,A., Klingberg,M. and Melkonian,M.","Protist 154 (1), 99-145 (2003)"
AJ532476.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Euglenophyceae,Euglenea,Phacaceae,Phacus,Phacus pleuronectes,Phacus alatus SAG 1261-2b,culture,ditch water (ENVO:00002158),ditch (ENVO:00000037),free-living,NA,NA,United Kingdom: Trumpington,Phylogeny and taxonomic revision of plastid-containing euglenophytes based on SSU rDNA sequence comparisons and synapomorphic signatures in the SSU rRNA secondary structure,"Marin,B., Palm,A., Klingberg,M. and Melkonian,M.","Protist 154 (1), 99-145 (2003)",Phacus alatus,NA,NA,NA,NA,Phylogeny and taxonomic revision of plastid-containing euglenophytes based on SSU rDNA sequence comparisons and synapomorphic signatures in the SSU rRNA secondary structure,"Marin,B., Palm,A., Klingberg,M. and Melkonian,M.","Protist 154 (1), 99-145 (2003)"
AJ532477.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Euglenophyceae,Euglenea,Phacaceae,Phacus,Phacus pleuronectes,Phacus acuminatus SAG 1261-1,culture,fresh water (ENVO:00002011),freshwater biome (ENVO:00000873),free-living,NA,NA,United Kingdom: Cambridge: Cherry Hinton,Phylogeny and taxonomic revision of plastid-containing euglenophytes based on SSU rDNA sequence comparisons and synapomorphic signatures in the SSU rRNA secondary structure,"Marin,B., Palm,A., Klingberg,M. and Melkonian,M.","Protist 154 (1), 99-145 (2003)",Phacus acuminatus,NA,NA,NA,NA,Phylogeny and taxonomic revision of plastid-containing euglenophytes based on SSU rDNA sequence comparisons and synapomorphic signatures in the SSU rRNA secondary structure,"Marin,B., Palm,A., Klingberg,M. and Melkonian,M.","Protist 154 (1), 99-145 (2003)"
AJ532478.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Euglenophyceae,Euglenea,Phacaceae,Phacus,Phacus orbicularis,Phacus orbicularis ACOI 996,culture,fresh water (ENVO:00002011),freshwater biome (ENVO:00000873),free-living,NA,NA,Portugal: Barragem do Azibo,Phylogeny and taxonomic revision of plastid-containing euglenophytes based on SSU rDNA sequence comparisons and synapomorphic signatures in the SSU rRNA secondary structure,"Marin,B., Palm,A., Klingberg,M. and Melkonian,M.","Protist 154 (1), 99-145 (2003)",Phacus orbicularis,NA,NA,NA,NA,Phylogeny and taxonomic revision of plastid-containing euglenophytes based on SSU rDNA sequence comparisons and synapomorphic signatures in the SSU rRNA secondary structure,"Marin,B., Palm,A., Klingberg,M. and Melkonian,M.","Protist 154 (1), 99-145 (2003)"
AJ532479.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Euglenophyceae,Euglenea,Phacaceae,Phacus,Phacus orbicularis,Phacus orbicularis M1424,culture,fresh water (ENVO:00002011),freshwater castle moat (ENVO missing),free-living,NA,NA,Germany: Muenster: Park of Burg Huelshoff,Phylogeny and taxonomic revision of plastid-containing euglenophytes based on SSU rDNA sequence comparisons and synapomorphic signatures in the SSU rRNA secondary structure,"Marin,B., Palm,A., Klingberg,M. and Melkonian,M.","Protist 154 (1), 99-145 (2003)",Phacus orbicularis,NA,NA,NA,NA,Phylogeny and taxonomic revision of plastid-containing euglenophytes based on SSU rDNA sequence comparisons and synapomorphic signatures in the SSU rRNA secondary structure,"Marin,B., Palm,A., Klingberg,M. and Melkonian,M.","Protist 154 (1), 99-145 (2003)"
AJ532480.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Euglenophyceae,Euglenea,Phacaceae,Phacus,Phacus circumflexus,Phacus longicauda var. Tortus ACOI 1108,culture,pond water (ENVO:00002228),pond (ENVO:00000033),free-living,NA,NA,Portugal: Castelo Branco: Penha Garcia,Phylogeny and taxonomic revision of plastid-containing euglenophytes based on SSU rDNA sequence comparisons and synapomorphic signatures in the SSU rRNA secondary structure,"Marin,B., Palm,A., Klingberg,M. and Melkonian,M.","Protist 154 (1), 99-145 (2003)",Phacus longicauda var. tortus,NA,NA,NA,NA,Phylogeny and taxonomic revision of plastid-containing euglenophytes based on SSU rDNA sequence comparisons and synapomorphic signatures in the SSU rRNA secondary structure,"Marin,B., Palm,A., Klingberg,M. and Melkonian,M.","Protist 154 (1), 99-145 (2003)"
AJ532481.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Euglenophyceae,Euglenea,Phacaceae,Phacus,Phacus acuminatus,Phacus brachykentron SAG 1261-7,culture,mud (ENVO:01000001),freshwater river biome (ENVO:01000253),free-living,NA,NA,United Kingdom: Oxford: Thames River,Phylogeny and taxonomic revision of plastid-containing euglenophytes based on SSU rDNA sequence comparisons and synapomorphic signatures in the SSU rRNA secondary structure,"Marin,B., Palm,A., Klingberg,M. and Melkonian,M.","Protist 154 (1), 99-145 (2003)",Phacus brachykentron,NA,NA,NA,NA,Phylogeny and taxonomic revision of plastid-containing euglenophytes based on SSU rDNA sequence comparisons and synapomorphic signatures in the SSU rRNA secondary structure,"Marin,B., Palm,A., Klingberg,M. and Melkonian,M.","Protist 154 (1), 99-145 (2003)"
AJ532482.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Euglenophyceae,Euglenea,Phacaceae,Phacus,Phacus carinatus,Phacus caudatus ASW 08020,culture,fresh water (ENVO:00002011),freshwater biome (ENVO:00000873),free-living,NA,NA,Belgium: Nature Reserve De Zegge,Phylogeny and taxonomic revision of plastid-containing euglenophytes based on SSU rDNA sequence comparisons and synapomorphic signatures in the SSU rRNA secondary structure,"Marin,B., Palm,A., Klingberg,M. and Melkonian,M.","Protist 154 (1), 99-145 (2003)",Phacus caudatus,NA,NA,NA,NA,Phylogeny and taxonomic revision of plastid-containing euglenophytes based on SSU rDNA sequence comparisons and synapomorphic signatures in the SSU rRNA secondary structure,"Marin,B., Palm,A., Klingberg,M. and Melkonian,M.","Protist 154 (1), 99-145 (2003)"
AJ532483.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Euglenophyceae,Euglenea,Phacaceae,Phacus,Phacus caudatus,Phacus caudatus CCAC 0034,culture,fresh water (ENVO:00002011),freshwater biome (ENVO:00000873),free-living,NA,NA,Argentina: Mar del Plata south,Phylogeny and taxonomic revision of plastid-containing euglenophytes based on SSU rDNA sequence comparisons and synapomorphic signatures in the SSU rRNA secondary structure,"Marin,B., Palm,A., Klingberg,M. and Melkonian,M.","Protist 154 (1), 99-145 (2003)",Phacus caudatus,NA,NA,NA,NA,Phylogeny and taxonomic revision of plastid-containing euglenophytes based on SSU rDNA sequence comparisons and synapomorphic signatures in the SSU rRNA secondary structure,"Marin,B., Palm,A., Klingberg,M. and Melkonian,M.","Protist 154 (1), 99-145 (2003)"
AJ532484.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Euglenophyceae,Euglenea,Phacaceae,Phacus,Phacus ankyloton,Phacus ranula M1307,culture,ditch water (ENVO:00002158),freshwater biome (ENVO:00000873),free-living,NA,NA,Germany: Heligoland,Phylogeny and taxonomic revision of plastid-containing euglenophytes based on SSU rDNA sequence comparisons and synapomorphic signatures in the SSU rRNA secondary structure,"Marin,B., Palm,A., Klingberg,M. and Melkonian,M.","Protist 154 (1), 99-145 (2003)",Phacus ranula,NA,NA,NA,NA,Phylogeny and taxonomic revision of plastid-containing euglenophytes based on SSU rDNA sequence comparisons and synapomorphic signatures in the SSU rRNA secondary structure,"Marin,B., Palm,A., Klingberg,M. and Melkonian,M.","Protist 154 (1), 99-145 (2003)"
AJ532485.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Euglenophyceae,Euglenea,Phacaceae,Phacus,Phacus triqueter,Phacus triqueter SAG 1261-8,culture,fresh water (ENVO:00002011),freshwater biome (ENVO:00000873),free-living,NA,NA,United Kingdom: Shelford/Cambridge,Phylogeny and taxonomic revision of plastid-containing euglenophytes based on SSU rDNA sequence comparisons and synapomorphic signatures in the SSU rRNA secondary structure,"Marin,B., Palm,A., Klingberg,M. and Melkonian,M.","Protist 154 (1), 99-145 (2003)",Phacus triqueter,NA,NA,NA,NA,Phylogeny and taxonomic revision of plastid-containing euglenophytes based on SSU rDNA sequence comparisons and synapomorphic signatures in the SSU rRNA secondary structure,"Marin,B., Palm,A., Klingberg,M. and Melkonian,M.","Protist 154 (1), 99-145 (2003)"
AJ862422.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Euglenophyceae,Euglenea,Euglenaceae,Colacium,Colacium,NA ,environmental,fresh water (ENVO:00002011),freshwater lake biome (ENVO:01000252),free-living,NA,NA,Spain: Girona Lake,Genetic diversity in planktonic microeukaryotes from freshwater sulfurous lakes with oxic/anoxic interfaces,"Casamayor,E.O., Ferrera,I. and Garrido,E.",Unpublished,uncultured eukaryote,NA,lake depth: 2m,NA,"Spain:Girona, Lake Vilar",Genetic diversity in planktonic microeukaryotes from freshwater sulfurous lakes with oxic/anoxic interfaces,"Casamayor,E.O., Ferrera,I. and Garrido,E.",Unpublished
AM409553.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Petalomonadida,Eupetalomonads,Eupetalomonads,Eupetalomonads,Eupetalomonads,B1-15 ,environmental,sandy soil (ENVO missing),coniferous forest (ENVO:01000196),free-living,NA,NA,France: Cap Ferret: Pinus pinaster forest stand,"Soil eukaryotic functional diversity, a metatranscriptomic approach","Bailly,J., Fraissinet-Tachet,L., Verner,M.C., Debaud,J.C., Lemaire,M., Wesolowski-Louvel,M. and Marmeisse,R.","ISME J 1 (7), 632-642 (2007)",uncultured eukaryote,B1-15,sandy soil from a Pinus pinaster forest stand,NA,"France:South West France, Cap Ferret","Soil eukaryotic functional diversity, a metatranscriptomic approach","Bailly,J., Fraissinet-Tachet,L., Verner,M.C., Debaud,J.C., Lemaire,M., Wesolowski-Louvel,M. and Marmeisse,R.","ISME J 1 (7), 632-642 (2007)"
AM409555.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Petalomonadida,Eupetalomonads,Petalomonas,Postgaardida,Petalomonas cantuscygni,B5-5 ,environmental,sandy soil (ENVO missing),coniferous forest (ENVO:01000196),free-living,NA,NA,France: Cap Ferret: Pinus pinaster forest stand,"Soil eukaryotic functional diversity, a metatranscriptomic approach","Bailly,J., Fraissinet-Tachet,L., Verner,M.C., Debaud,J.C., Lemaire,M., Wesolowski-Louvel,M. and Marmeisse,R.","ISME J 1 (7), 632-642 (2007)",uncultured eukaryote,B5-5,sandy soil from a Pinus pinaster forest stand,NA,"France:South West France, Cap Ferret","Soil eukaryotic functional diversity, a metatranscriptomic approach","Bailly,J., Fraissinet-Tachet,L., Verner,M.C., Debaud,J.C., Lemaire,M., Wesolowski-Louvel,M. and Marmeisse,R.","ISME J 1 (7), 632-642 (2007)"
AM409557.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Petalomonadida,Eupetalomonads,Eupetalomonads,Eupetalomonads,Eupetalomonads,B1-11 ,environmental,sandy soil (ENVO missing),coniferous forest (ENVO:01000196),free-living,NA,NA,France: Cap Ferret: Pinus pinaster forest stand,"Soil eukaryotic functional diversity, a metatranscriptomic approach","Bailly,J., Fraissinet-Tachet,L., Verner,M.C., Debaud,J.C., Lemaire,M., Wesolowski-Louvel,M. and Marmeisse,R.","ISME J 1 (7), 632-642 (2007)",uncultured eukaryote,B1-11,sandy soil from a Pinus pinaster forest stand,NA,"France:South West France, Cap Ferret","Soil eukaryotic functional diversity, a metatranscriptomic approach","Bailly,J., Fraissinet-Tachet,L., Verner,M.C., Debaud,J.C., Lemaire,M., Wesolowski-Louvel,M. and Marmeisse,R.","ISME J 1 (7), 632-642 (2007)"
