accession,taxon_1,taxon_2,taxon_3,taxon_4,taxon_5,taxon_6,taxon_7,taxon_8,taxon_9,taxon_10,taxon_11,name,source,env_material,env_biome,biotic_relationship,specific_host,host_name,geo_loc_name,publication,authors,journal,organism_gb,clone_gb,environment_gb,host_gb,country_gb,publication_gb,authors_gb,journal_gb
GU219282,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Diplonemea,Diplonemidae,Diplonemidae,Diplonemidae,Diplonemidae,Diplonemidae,uncultured marine eukaryote CB_77_HET,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Atlantic Ocean: Cape Abyssal Plain,Large-scale patterns in biodiversity of microbial eukaryotes from the abyssal sea floor,"Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.","Proc. Natl. Acad. Sci. U.S.A. 107 (1), 115-120 (2010)",uncultured marine eukaryote,CB_77_HET,sediment overlaying water at 5033-5038m depth,NA,"Atlantic Ocean: Cape Abyssal Plain, South-East Atlantic",Large-scale patterns in biodiversity of microbial eukaryotes from the abyssal sea floor,"Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.","Proc. Natl. Acad. Sci. U.S.A. 107 (1), 115-120 (2010)"
GU219284,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Diplonemea,Diplonemidae,Diplonemidae,Diplonemidae,Diplonemidae,Diplonemidae,uncultured marine eukaryote CB_87_HET,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Atlantic Ocean: Cape Abyssal Plain,Large-scale patterns in biodiversity of microbial eukaryotes from the abyssal sea floor,"Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.","Proc. Natl. Acad. Sci. U.S.A. 107 (1), 115-120 (2010)",uncultured marine eukaryote,CB_87_HET,sediment overlaying water at 5033-5038m depth,NA,"Atlantic Ocean: Cape Abyssal Plain, South-East Atlantic",Large-scale patterns in biodiversity of microbial eukaryotes from the abyssal sea floor,"Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.","Proc. Natl. Acad. Sci. U.S.A. 107 (1), 115-120 (2010)"
GU219286,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Diplonemea,Diplonemidae,Diplonemidae,Diplonemidae,Diplonemidae,Diplonemidae,uncultured marine eukaryote CB_94_HET,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Atlantic Ocean: Cape Abyssal Plain,Large-scale patterns in biodiversity of microbial eukaryotes from the abyssal sea floor,"Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.","Proc. Natl. Acad. Sci. U.S.A. 107 (1), 115-120 (2010)",uncultured marine eukaryote,CB_94_HET,sediment overlaying water at 5033-5038m depth,NA,"Atlantic Ocean: Cape Abyssal Plain, South-East Atlantic",Large-scale patterns in biodiversity of microbial eukaryotes from the abyssal sea floor,"Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.","Proc. Natl. Acad. Sci. U.S.A. 107 (1), 115-120 (2010)"
GU219328,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Kinetoplastea,Metakinetoplastina,Rhynchomonas,Rhynchomonas,Rhynchomonas,Rhynchomonas,uncultured marine eukaryote CB_o28_KIN,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Atlantic Ocean: Cape Abyssal Plain,Large-scale patterns in biodiversity of microbial eukaryotes from the abyssal sea floor,"Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.","Proc. Natl. Acad. Sci. U.S.A. 107 (1), 115-120 (2010)",uncultured marine eukaryote,CB_o28_KIN,sediment overlaying water at 5033-5038m depth,NA,"Atlantic Ocean: Cape Abyssal Plain, South-East Atlantic",Large-scale patterns in biodiversity of microbial eukaryotes from the abyssal sea floor,"Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.","Proc. Natl. Acad. Sci. U.S.A. 107 (1), 115-120 (2010)"
GU219335,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Kinetoplastea,Metakinetoplastina,Rhynchomonas,Rhynchomonas,Rhynchomonas,Rhynchomonas,uncultured marine eukaryote CB_o3_KIN,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Atlantic Ocean: Cape Abyssal Plain,Large-scale patterns in biodiversity of microbial eukaryotes from the abyssal sea floor,"Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.","Proc. Natl. Acad. Sci. U.S.A. 107 (1), 115-120 (2010)",uncultured marine eukaryote,CB_o3_KIN,sediment overlaying water at 5033-5038m depth,NA,"Atlantic Ocean: Cape Abyssal Plain, South-East Atlantic",Large-scale patterns in biodiversity of microbial eukaryotes from the abyssal sea floor,"Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.","Proc. Natl. Acad. Sci. U.S.A. 107 (1), 115-120 (2010)"
GU219329,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Kinetoplastea,Metakinetoplastina,Rhynchomonas,Rhynchomonas,Rhynchomonas,Rhynchomonas,uncultured marine eukaryote CB_o31_KIN,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Atlantic Ocean: Cape Abyssal Plain,Large-scale patterns in biodiversity of microbial eukaryotes from the abyssal sea floor,"Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.","Proc. Natl. Acad. Sci. U.S.A. 107 (1), 115-120 (2010)",uncultured marine eukaryote,CB_o31_KIN,sediment overlaying water at 5033-5038m depth,NA,"Atlantic Ocean: Cape Abyssal Plain, South-East Atlantic",Large-scale patterns in biodiversity of microbial eukaryotes from the abyssal sea floor,"Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.","Proc. Natl. Acad. Sci. U.S.A. 107 (1), 115-120 (2010)"
GU219332,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Kinetoplastea,Metakinetoplastina,Rhynchomonas,Rhynchomonas,Rhynchomonas,Rhynchomonas,uncultured marine eukaryote CB_o37_KIN,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Atlantic Ocean: Cape Abyssal Plain,Large-scale patterns in biodiversity of microbial eukaryotes from the abyssal sea floor,"Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.","Proc. Natl. Acad. Sci. U.S.A. 107 (1), 115-120 (2010)",uncultured marine eukaryote,CB_o37_KIN,sediment overlaying water at 5033-5038m depth,NA,"Atlantic Ocean: Cape Abyssal Plain, South-East Atlantic",Large-scale patterns in biodiversity of microbial eukaryotes from the abyssal sea floor,"Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.","Proc. Natl. Acad. Sci. U.S.A. 107 (1), 115-120 (2010)"
GU219333,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Kinetoplastea,Metakinetoplastina,Rhynchomonas,Rhynchomonas,Rhynchomonas,Rhynchomonas,uncultured marine eukaryote CB_o38_KIN,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Atlantic Ocean: Cape Abyssal Plain,Large-scale patterns in biodiversity of microbial eukaryotes from the abyssal sea floor,"Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.","Proc. Natl. Acad. Sci. U.S.A. 107 (1), 115-120 (2010)",uncultured marine eukaryote,CB_o38_KIN,sediment overlaying water at 5033-5038m depth,NA,"Atlantic Ocean: Cape Abyssal Plain, South-East Atlantic",Large-scale patterns in biodiversity of microbial eukaryotes from the abyssal sea floor,"Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.","Proc. Natl. Acad. Sci. U.S.A. 107 (1), 115-120 (2010)"
GU219334,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Kinetoplastea,Metakinetoplastina,Rhynchomonas,Rhynchomonas,Rhynchomonas,Rhynchomonas,uncultured marine eukaryote CB_o39_KIN,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Atlantic Ocean: Cape Abyssal Plain,Large-scale patterns in biodiversity of microbial eukaryotes from the abyssal sea floor,"Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.","Proc. Natl. Acad. Sci. U.S.A. 107 (1), 115-120 (2010)",uncultured marine eukaryote,CB_o39_KIN,sediment overlaying water at 5033-5038m depth,NA,"Atlantic Ocean: Cape Abyssal Plain, South-East Atlantic",Large-scale patterns in biodiversity of microbial eukaryotes from the abyssal sea floor,"Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.","Proc. Natl. Acad. Sci. U.S.A. 107 (1), 115-120 (2010)"
GU219339,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Kinetoplastea,Metakinetoplastina,Rhynchomonas,Rhynchomonas,Rhynchomonas,Rhynchomonas,uncultured marine eukaryote CB_o4_KIN,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Atlantic Ocean: Cape Abyssal Plain,Large-scale patterns in biodiversity of microbial eukaryotes from the abyssal sea floor,"Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.","Proc. Natl. Acad. Sci. U.S.A. 107 (1), 115-120 (2010)",uncultured marine eukaryote,CB_o4_KIN,sediment overlaying water at 5033-5038m depth,NA,"Atlantic Ocean: Cape Abyssal Plain, South-East Atlantic",Large-scale patterns in biodiversity of microbial eukaryotes from the abyssal sea floor,"Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.","Proc. Natl. Acad. Sci. U.S.A. 107 (1), 115-120 (2010)"
GU219336,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Kinetoplastea,Metakinetoplastina,Rhynchomonas,Rhynchomonas,Rhynchomonas,Rhynchomonas,uncultured marine eukaryote CB_o40_KIN,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Atlantic Ocean: Cape Abyssal Plain,Large-scale patterns in biodiversity of microbial eukaryotes from the abyssal sea floor,"Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.","Proc. Natl. Acad. Sci. U.S.A. 107 (1), 115-120 (2010)",uncultured marine eukaryote,CB_o40_KIN,sediment overlaying water at 5033-5038m depth,NA,"Atlantic Ocean: Cape Abyssal Plain, South-East Atlantic",Large-scale patterns in biodiversity of microbial eukaryotes from the abyssal sea floor,"Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.","Proc. Natl. Acad. Sci. U.S.A. 107 (1), 115-120 (2010)"
GU219337,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Kinetoplastea,Metakinetoplastina,Rhynchomonas,Rhynchomonas,Rhynchomonas,Rhynchomonas,uncultured marine eukaryote CB_o41_KIN,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Atlantic Ocean: Cape Abyssal Plain,Large-scale patterns in biodiversity of microbial eukaryotes from the abyssal sea floor,"Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.","Proc. Natl. Acad. Sci. U.S.A. 107 (1), 115-120 (2010)",uncultured marine eukaryote,CB_o41_KIN,sediment overlaying water at 5033-5038m depth,NA,"Atlantic Ocean: Cape Abyssal Plain, South-East Atlantic",Large-scale patterns in biodiversity of microbial eukaryotes from the abyssal sea floor,"Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.","Proc. Natl. Acad. Sci. U.S.A. 107 (1), 115-120 (2010)"
GU219338,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Kinetoplastea,Metakinetoplastina,Rhynchomonas,Rhynchomonas,Rhynchomonas,Rhynchomonas,uncultured marine eukaryote CB_o43_KIN,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Atlantic Ocean: Cape Abyssal Plain,Large-scale patterns in biodiversity of microbial eukaryotes from the abyssal sea floor,"Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.","Proc. Natl. Acad. Sci. U.S.A. 107 (1), 115-120 (2010)",uncultured marine eukaryote,CB_o43_KIN,sediment overlaying water at 5033-5038m depth,NA,"Atlantic Ocean: Cape Abyssal Plain, South-East Atlantic",Large-scale patterns in biodiversity of microbial eukaryotes from the abyssal sea floor,"Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.","Proc. Natl. Acad. Sci. U.S.A. 107 (1), 115-120 (2010)"
GU219340,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Kinetoplastea,Metakinetoplastina,Rhynchomonas,Rhynchomonas,Rhynchomonas,Rhynchomonas,uncultured marine eukaryote CB_o58_KIN,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Atlantic Ocean: Cape Abyssal Plain,Large-scale patterns in biodiversity of microbial eukaryotes from the abyssal sea floor,"Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.","Proc. Natl. Acad. Sci. U.S.A. 107 (1), 115-120 (2010)",uncultured marine eukaryote,CB_o58_KIN,sediment overlaying water at 5033-5038m depth,NA,"Atlantic Ocean: Cape Abyssal Plain, South-East Atlantic",Large-scale patterns in biodiversity of microbial eukaryotes from the abyssal sea floor,"Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.","Proc. Natl. Acad. Sci. U.S.A. 107 (1), 115-120 (2010)"
GU219341,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Kinetoplastea,Metakinetoplastina,Rhynchomonas,Rhynchomonas,Rhynchomonas,Rhynchomonas,uncultured marine eukaryote CB_o59_KIN,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Atlantic Ocean: Cape Abyssal Plain,Large-scale patterns in biodiversity of microbial eukaryotes from the abyssal sea floor,"Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.","Proc. Natl. Acad. Sci. U.S.A. 107 (1), 115-120 (2010)",uncultured marine eukaryote,CB_o59_KIN,sediment overlaying water at 5033-5038m depth,NA,"Atlantic Ocean: Cape Abyssal Plain, South-East Atlantic",Large-scale patterns in biodiversity of microbial eukaryotes from the abyssal sea floor,"Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.","Proc. Natl. Acad. Sci. U.S.A. 107 (1), 115-120 (2010)"
GU219343,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Kinetoplastea,Metakinetoplastina,Rhynchomonas,Rhynchomonas,Rhynchomonas,Rhynchomonas,uncultured marine eukaryote CB_o6_KIN,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Atlantic Ocean: Cape Abyssal Plain,Large-scale patterns in biodiversity of microbial eukaryotes from the abyssal sea floor,"Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.","Proc. Natl. Acad. Sci. U.S.A. 107 (1), 115-120 (2010)",uncultured marine eukaryote,CB_o6_KIN,sediment overlaying water at 5033-5038m depth,NA,"Atlantic Ocean: Cape Abyssal Plain, South-East Atlantic",Large-scale patterns in biodiversity of microbial eukaryotes from the abyssal sea floor,"Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.","Proc. Natl. Acad. Sci. U.S.A. 107 (1), 115-120 (2010)"
GU219342,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Kinetoplastea,Metakinetoplastina,Rhynchomonas,Rhynchomonas,Rhynchomonas,Rhynchomonas,uncultured marine eukaryote CB_o68_KIN,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Atlantic Ocean: Cape Abyssal Plain,Large-scale patterns in biodiversity of microbial eukaryotes from the abyssal sea floor,"Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.","Proc. Natl. Acad. Sci. U.S.A. 107 (1), 115-120 (2010)",uncultured marine eukaryote,CB_o68_KIN,sediment overlaying water at 5033-5038m depth,NA,"Atlantic Ocean: Cape Abyssal Plain, South-East Atlantic",Large-scale patterns in biodiversity of microbial eukaryotes from the abyssal sea floor,"Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.","Proc. Natl. Acad. Sci. U.S.A. 107 (1), 115-120 (2010)"
GU219345,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Kinetoplastea,Metakinetoplastina,Rhynchomonas,Rhynchomonas,Rhynchomonas,Rhynchomonas,uncultured marine eukaryote CB_o8_KIN,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Atlantic Ocean: Cape Abyssal Plain,Large-scale patterns in biodiversity of microbial eukaryotes from the abyssal sea floor,"Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.","Proc. Natl. Acad. Sci. U.S.A. 107 (1), 115-120 (2010)",uncultured marine eukaryote,CB_o8_KIN,sediment overlaying water at 5033-5038m depth,NA,"Atlantic Ocean: Cape Abyssal Plain, South-East Atlantic",Large-scale patterns in biodiversity of microbial eukaryotes from the abyssal sea floor,"Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.","Proc. Natl. Acad. Sci. U.S.A. 107 (1), 115-120 (2010)"
GU219346,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Kinetoplastea,Metakinetoplastina,Rhynchomonas,Rhynchomonas,Rhynchomonas,Rhynchomonas,uncultured marine eukaryote CB_o9_KIN,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Atlantic Ocean: Cape Abyssal Plain,Large-scale patterns in biodiversity of microbial eukaryotes from the abyssal sea floor,"Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.","Proc. Natl. Acad. Sci. U.S.A. 107 (1), 115-120 (2010)",uncultured marine eukaryote,CB_o9_KIN,sediment overlaying water at 5033-5038m depth,NA,"Atlantic Ocean: Cape Abyssal Plain, South-East Atlantic",Large-scale patterns in biodiversity of microbial eukaryotes from the abyssal sea floor,"Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.","Proc. Natl. Acad. Sci. U.S.A. 107 (1), 115-120 (2010)"
GU219349,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Kinetoplastea,Metakinetoplastina,Rhynchomonas,Rhynchomonas,Rhynchomonas,Rhynchomonas,uncultured marine eukaryote CB_w85_KIN,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Atlantic Ocean: Cape Abyssal Plain,Large-scale patterns in biodiversity of microbial eukaryotes from the abyssal sea floor,"Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.","Proc. Natl. Acad. Sci. U.S.A. 107 (1), 115-120 (2010)",uncultured marine eukaryote,CB_w85_KIN,sediment overlaying water at 5033-5038m depth,NA,"Atlantic Ocean: Cape Abyssal Plain, South-East Atlantic",Large-scale patterns in biodiversity of microbial eukaryotes from the abyssal sea floor,"Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.","Proc. Natl. Acad. Sci. U.S.A. 107 (1), 115-120 (2010)"
GU219381,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Kinetoplastea,Metakinetoplastina,Rhynchomonas,Rhynchomonas,Rhynchomonas,Rhynchomonas,uncultured marine eukaryote CB_x187_EUK,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Atlantic Ocean: Cape Abyssal Plain,Large-scale patterns in biodiversity of microbial eukaryotes from the abyssal sea floor,"Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.","Proc. Natl. Acad. Sci. U.S.A. 107 (1), 115-120 (2010)",uncultured marine eukaryote,CB_x187_EUK,sediment overlaying water at 5033-5038m depth,NA,"Atlantic Ocean: Cape Abyssal Plain, South-East Atlantic",Large-scale patterns in biodiversity of microbial eukaryotes from the abyssal sea floor,"Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.","Proc. Natl. Acad. Sci. U.S.A. 107 (1), 115-120 (2010)"
GU219348,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Kinetoplastea,Metakinetoplastina,Rhynchomonas,Rhynchomonas,Rhynchomonas,Rhynchomonas,uncultured marine eukaryote CB_w71_KIN,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Atlantic Ocean: Cape Abyssal Plain,Large-scale patterns in biodiversity of microbial eukaryotes from the abyssal sea floor,"Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.","Proc. Natl. Acad. Sci. U.S.A. 107 (1), 115-120 (2010)",uncultured marine eukaryote,CB_w71_KIN,sediment overlaying water at 5033-5038m depth,NA,"Atlantic Ocean: Cape Abyssal Plain, South-East Atlantic",Large-scale patterns in biodiversity of microbial eukaryotes from the abyssal sea floor,"Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.","Proc. Natl. Acad. Sci. U.S.A. 107 (1), 115-120 (2010)"
GU218965,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Diplonemea,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,uncultured marine eukaryote GO_749_EUK,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Atlantic Ocean: Eastern Guinea Abyssal Plain,Large-scale patterns in biodiversity of microbial eukaryotes from the abyssal sea floor,"Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.","Proc. Natl. Acad. Sci. U.S.A. 107 (1), 115-120 (2010)",uncultured marine eukaryote,GO_749_EUK,sediment overlaying water at 5060-5066m depth,NA,"Atlantic Ocean: Eastern Guinea Abyssal Plain, South-East Atlantic",Large-scale patterns in biodiversity of microbial eukaryotes from the abyssal sea floor,"Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.","Proc. Natl. Acad. Sci. U.S.A. 107 (1), 115-120 (2010)"
GU218973,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Diplonemea,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,uncultured marine eukaryote GO_815_EUK,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Atlantic Ocean: Eastern Guinea Abyssal Plain,Large-scale patterns in biodiversity of microbial eukaryotes from the abyssal sea floor,"Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.","Proc. Natl. Acad. Sci. U.S.A. 107 (1), 115-120 (2010)",uncultured marine eukaryote,GO_815_EUK,sediment overlaying water at 5060-5066m depth,NA,"Atlantic Ocean: Eastern Guinea Abyssal Plain, South-East Atlantic",Large-scale patterns in biodiversity of microbial eukaryotes from the abyssal sea floor,"Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.","Proc. Natl. Acad. Sci. U.S.A. 107 (1), 115-120 (2010)"
GU218977,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Diplonemea,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,uncultured marine eukaryote GO_820_EUK,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Atlantic Ocean: Eastern Guinea Abyssal Plain,Large-scale patterns in biodiversity of microbial eukaryotes from the abyssal sea floor,"Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.","Proc. Natl. Acad. Sci. U.S.A. 107 (1), 115-120 (2010)",uncultured marine eukaryote,GO_820_EUK,sediment overlaying water at 5060-5066m depth,NA,"Atlantic Ocean: Eastern Guinea Abyssal Plain, South-East Atlantic",Large-scale patterns in biodiversity of microbial eukaryotes from the abyssal sea floor,"Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.","Proc. Natl. Acad. Sci. U.S.A. 107 (1), 115-120 (2010)"
GU218981,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Diplonemea,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,uncultured marine eukaryote GO_839_EUK,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Atlantic Ocean: Eastern Guinea Abyssal Plain,Large-scale patterns in biodiversity of microbial eukaryotes from the abyssal sea floor,"Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.","Proc. Natl. Acad. Sci. U.S.A. 107 (1), 115-120 (2010)",uncultured marine eukaryote,GO_839_EUK,sediment overlaying water at 5060-5066m depth,NA,"Atlantic Ocean: Eastern Guinea Abyssal Plain, South-East Atlantic",Large-scale patterns in biodiversity of microbial eukaryotes from the abyssal sea floor,"Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.","Proc. Natl. Acad. Sci. U.S.A. 107 (1), 115-120 (2010)"
GU218993,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Diplonemea,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,uncultured marine eukaryote GO_864_EUK,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Atlantic Ocean: Eastern Guinea Abyssal Plain,Large-scale patterns in biodiversity of microbial eukaryotes from the abyssal sea floor,"Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.","Proc. Natl. Acad. Sci. U.S.A. 107 (1), 115-120 (2010)",uncultured marine eukaryote,GO_864_EUK,sediment overlaying water at 5060-5066m depth,NA,"Atlantic Ocean: Eastern Guinea Abyssal Plain, South-East Atlantic",Large-scale patterns in biodiversity of microbial eukaryotes from the abyssal sea floor,"Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.","Proc. Natl. Acad. Sci. U.S.A. 107 (1), 115-120 (2010)"
DQ465514,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Kinetoplastea,Metakinetoplastina,Rhynchomonas,Rhynchomonas,Rhynchomonas,Rhynchomonas,Rhynchomonas nasuta,isolate,sediment (ENVO:00002007),NA,NA,NA,NA,Atlantic Ocean: Eastern Guinea Abyssal Plain,Molecular diversity of Rhynchomonas nasuta isolated from different deep-sea abyssal plains of the southeast Atlantic Ocean,"Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.",Unpublished,Rhynchomonas nasuta,NA,sediment,NA,Atlantic Ocean: Eastern Guinea Abyssal Plain depth 5058m,Molecular diversity of Rhynchomonas nasuta isolated from different deep-sea abyssal plains of the southeast Atlantic Ocean,"Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.",Unpublished
