accession,taxon_1,taxon_2,taxon_3,taxon_4,taxon_5,taxon_6,taxon_7,taxon_8,name,source,env_material,env_biome,biotic_relationship,specific_host,geo_loc_name,publication,authors,journal,organism_gb,clone_gb,environment_gb,host_gb,country_gb,publication_gb,authors_gb,journal_gb
AJ237786.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade III,Vahlkampfiidae,Naegleria,Naegleria robinsoni,isolate,NA,freshwater biome (ENVO:00000873),free-living,NA,Australia: Kangaroo island,SSUrDNA analysis reveals the existence of a second Naegleria sp. with dividing flagellates: N. robinsoni sp. nov,"De Jonckheere,J.F. and Brown,S.","Eur. J. Protist. 35, 264-266 (1999)",Naegleria robinsoni,NA,NA,NA,Australia:Kangoroo island,SSUrDNA analysis reveals the existence of a second Naegleria sp. with dividing flagellates: N. robinsoni sp. nov,"De Jonckheere,J.F. and Brown,S.","Eur. J. Protist. 35, 264-266 (1999)"
AJ243440.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade III,Vahlkampfiidae,Naegleria,Naegleria fultoni,isolate,drinking water (ENVO:00003064),freshwater biome (ENVO:00000873),free-living,NA,Australia,The amoeba to flagellate transformation test is not reliable for the diagnosis of the genus Naegleria: Three new Naegleria spp that do not transform,"De Jonckheere,J.F., Brown,S., Dobson,P.J., Robinson,B.S. and Pernin,P.",Unpublished,Naegleria fultoni,NA,NA,NA,Australia,The amoeba to flagellate transformation test is not reliable for the diagnosis of the genus Naegleria: Three new Naegleria spp that do not transform,"De Jonckheere,J.F., Brown,S., Dobson,P.J., Robinson,B.S. and Pernin,P.",Unpublished
AJ243441.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade III,Vahlkampfiidae,Naegleria,Naegleria indonesiensis,isolate,NA,NA,NA,NA,Indonesia: Bali,The amoeba to flagellate transformation test is not reliable for the diagnosis of the genus Naegleria: Three new Naegleria spp that do not transform,"De Jonckheere,J.F., Brown,S., Dobson,P.J., Robinson,B.S. and Pernin,P.",Unpublished,Naegleria indonesiensis,NA,NA,NA,Indonesia,The amoeba to flagellate transformation test is not reliable for the diagnosis of the genus Naegleria: Three new Naegleria spp that do not transform,"De Jonckheere,J.F., Brown,S., Dobson,P.J., Robinson,B.S. and Pernin,P.",Unpublished
AJ243442.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade III,Vahlkampfiidae,Naegleria,Naegleria chilensis,isolate,NA,NA,NA,NA,Chile,The amoeba to flagellate transformation test is not reliable for the diagnosis of the genus Naegleria: Three new Naegleria spp that do not transform,"De Jonckheere,J.F., Brown,S., Dobson,P.J., Robinson,B.S. and Pernin,P.",Unpublished,Naegleria chilensis,NA,NA,NA,Chile,The amoeba to flagellate transformation test is not reliable for the diagnosis of the genus Naegleria: Three new Naegleria spp that do not transform,"De Jonckheere,J.F., Brown,S., Dobson,P.J., Robinson,B.S. and Pernin,P.",Unpublished
AM062726.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade III,Vahlkampfiidae,Naegleria,Naegleria sp. Ci53e1,isolate,NA,NA,NA,NA,NA,Analysis of Naegleria sp. using a new rDNA fragment,"Anchierri,J., Lecareux,V., Pernin,P. and Pelandakis,M.",Unpublished,Naegleria sp. Ci53e1,NA,NA,NA,NA,Analysis of Naegleria sp. using a new rDNA fragment,"Anchierri,J., Lecareux,V., Pernin,P. and Pelandakis,M.",Unpublished
AM062727.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade III,Vahlkampfiidae,Naegleria,Naegleria sp. Cn14,isolate,NA,NA,NA,NA,NA,Analysis of Naegleria sp. using a new rDNA fragment,"Anchierri,J., Lecareux,V., Pernin,P. and Pelandakis,M.",Unpublished,Naegleria sp. Cn14,NA,NA,NA,NA,Analysis of Naegleria sp. using a new rDNA fragment,"Anchierri,J., Lecareux,V., Pernin,P. and Pelandakis,M.",Unpublished
AM062728.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade III,Vahlkampfiidae,Naegleria,Naegleria sp. PB77,isolate,NA,NA,NA,NA,NA,Analysis of Naegleria sp. using a new rDNA fragment,"Anchierri,J., Lecareux,V., Pernin,P. and Pelandakis,M.",Unpublished,Naegleria sp. PB77,NA,NA,NA,NA,Analysis of Naegleria sp. using a new rDNA fragment,"Anchierri,J., Lecareux,V., Pernin,P. and Pelandakis,M.",Unpublished
AM062729.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade III,Vahlkampfiidae,Naegleria,Naegleria sp. PB50,isolate,NA,NA,NA,NA,NA,Analysis of Naegleria sp. using a new rDNA fragment,"Anchierri,J., Lecareux,V., Pernin,P. and Pelandakis,M.",Unpublished,Naegleria sp. PB50,NA,NA,NA,NA,Analysis of Naegleria sp. using a new rDNA fragment,"Anchierri,J., Lecareux,V., Pernin,P. and Pelandakis,M.",Unpublished
AM062730.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade III,Vahlkampfiidae,Naegleria,Naegleria sp. Ci51f18,isolate,NA,NA,NA,NA,NA,Analysis of Naegleria sp. using a new rDNA fragment,"Anchierri,J., Lecareux,V., Pernin,P. and Pelandakis,M.",Unpublished,Naegleria sp. Ci51f18,NA,NA,NA,NA,Analysis of Naegleria sp. using a new rDNA fragment,"Anchierri,J., Lecareux,V., Pernin,P. and Pelandakis,M.",Unpublished
AM062731.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade III,Vahlkampfiidae,Naegleria,Naegleria schusteri,isolate,NA,NA,NA,NA,NA,Analysis of Naegleria sp. using a new rDNA fragment,"Anchierri,J., Lecareux,V., Pernin,P. and Pelandakis,M.",Unpublished,Naegleria schusteri,NA,NA,NA,NA,Analysis of Naegleria sp. using a new rDNA fragment,"Anchierri,J., Lecareux,V., Pernin,P. and Pelandakis,M.",Unpublished
AM062732.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade III,Vahlkampfiidae,Naegleria,Naegleria pagei,isolate,NA,NA,NA,NA,NA,Analysis of Naegleria sp. using a new rDNA fragment,"Anchierri,J., Lecareux,V., Pernin,P. and Pelandakis,M.",Unpublished,Naegleria pagei,NA,NA,NA,NA,Analysis of Naegleria sp. using a new rDNA fragment,"Anchierri,J., Lecareux,V., Pernin,P. and Pelandakis,M.",Unpublished
AM062733.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade III,Vahlkampfiidae,Naegleria,Naegleria sp. Ci47d5b,isolate,NA,NA,NA,NA,NA,Analysis of Naegleria sp. using rDNA new fragment,"Anchierri,J., Lecareux,V., Pernin,P. and Pelandakis,M.",Unpublished,Naegleria sp. Ci47d5b,NA,NA,NA,NA,Analysis of Naegleria sp. using rDNA new fragment,"Anchierri,J., Lecareux,V., Pernin,P. and Pelandakis,M.",Unpublished
AM062734.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade III,Vahlkampfiidae,Naegleria,Naegleria sp. D4R3d5b,isolate,NA,NA,NA,NA,NA,Analysis of Naegleria sp. using rDNA new fragment,"Anchierri,J., Lecareux,V., Pernin,P. and Pelandakis,M.",Unpublished,Naegleria sp. D4R3d5b,NA,NA,NA,NA,Analysis of Naegleria sp. using rDNA new fragment,"Anchierri,J., Lecareux,V., Pernin,P. and Pelandakis,M.",Unpublished
AM062735.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade III,Vahlkampfiidae,Naegleria,Naegleria sp. Ci18d1,isolate,NA,NA,NA,NA,NA,Analysis of Naegleria sp. using rDNA new fragment,"Anchierri,J., Lecareux,V., Pernin,P. and Pelandakis,M.",Unpublished,Naegleria sp. Ci18d1,NA,NA,NA,NA,Analysis of Naegleria sp. using rDNA new fragment,"Anchierri,J., Lecareux,V., Pernin,P. and Pelandakis,M.",Unpublished
AM062736.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade III,Vahlkampfiidae,Naegleria,Naegleria sp. Ci16d9,isolate,NA,NA,NA,NA,NA,Analysis of Naegleria sp. using rDNA new fragment,"Anchierri,J., Lecareux,V., Pernin,P. and Pelandakis,M.",Unpublished,Naegleria sp. Ci16d9,NA,NA,NA,NA,Analysis of Naegleria sp. using rDNA new fragment,"Anchierri,J., Lecareux,V., Pernin,P. and Pelandakis,M.",Unpublished
AM062737.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade III,Vahlkampfiidae,Naegleria,Naegleria philippinensis,isolate,NA,NA,NA,NA,NA,Analysis of Naegleria sp. using rDNA new fragment,"Anchierri,J., Lecareux,V., Pernin,P. and Pelandakis,M.",Unpublished,Naegleria philippinensis,NA,NA,NA,NA,Analysis of Naegleria sp. using rDNA new fragment,"Anchierri,J., Lecareux,V., Pernin,P. and Pelandakis,M.",Unpublished
AM062738.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade III,Vahlkampfiidae,Naegleria,Naegleria sp. NG 273,isolate,NA,NA,NA,NA,NA,Analysis of Naegleria sp. using rDNA new fragment,"Anchierri,J., Lecareux,V., Pernin,P. and Pelandakis,M.",Unpublished,Naegleria sp. NG 273,NA,NA,NA,NA,Analysis of Naegleria sp. using rDNA new fragment,"Anchierri,J., Lecareux,V., Pernin,P. and Pelandakis,M.",Unpublished
AM062739.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade III,Vahlkampfiidae,Naegleria,Naegleria sp. NG 152,isolate,NA,NA,NA,NA,NA,Analysis of Naegleria sp. using rDNA new fragment,"Anchierri,J., Lecareux,V., Pernin,P. and Pelandakis,M.",Unpublished,Naegleria sp. NG 152,NA,NA,NA,NA,Analysis of Naegleria sp. using rDNA new fragment,"Anchierri,J., Lecareux,V., Pernin,P. and Pelandakis,M.",Unpublished
AM062740.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade III,Vahlkampfiidae,Naegleria,Naegleria americana,isolate,NA,NA,NA,NA,NA,Analysis of Naegleria sp. using rDNA new fragment,"Anchierri,J., Lecareux,V., Pernin,P. and Pelandakis,M.",Unpublished,Naegleria americana,NA,NA,NA,NA,Analysis of Naegleria sp. using rDNA new fragment,"Anchierri,J., Lecareux,V., Pernin,P. and Pelandakis,M.",Unpublished
AM062741.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade III,Vahlkampfiidae,Naegleria,Naegleria pringsheimi,isolate,NA,NA,NA,NA,NA,Analysis of Naegleria sp. using new a rDNA fragment,"Anchierri,J., Lecareux,V., Pernin,P. and Pelandakis,M.",Unpublished,Naegleria pringsheimi,NA,NA,NA,NA,Analysis of Naegleria sp. using new a rDNA fragment,"Anchierri,J., Lecareux,V., Pernin,P. and Pelandakis,M.",Unpublished
AM071385.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade III,Vahlkampfiidae,Naegleria,Naegleria sp. NG260,isolate,NA,NA,NA,NA,NA,Analysis of Naegleria sp. using a new rRDNA fragment,"Anchierri,J., Lecareux,V., Pernin,P. and Pelandakis,M.",Unpublished,Naegleria sp. NG260,NA,NA,NA,NA,Analysis of Naegleria sp. using a new rRDNA fragment,"Anchierri,J., Lecareux,V., Pernin,P. and Pelandakis,M.",Unpublished
AM167879.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade III,Vahlkampfiidae,Naegleria,Naegleria clarki,isolate,NA,NA,NA,NA,NA,Short-term sequence evolution and vertical inheritance of the Naegleria twin-ribozyme group I intron,"Wikmark,O.G., Einvik,C., De Jonckheere,J.F. and Johansen,S.D.",Unpublished,Naegleria clarki,NA,NA,NA,NA,Short-term sequence evolution and vertical inheritance of the Naegleria twin-ribozyme group I intron,"Wikmark,O.G., Einvik,C., De Jonckheere,J.F. and Johansen,S.D.",Unpublished
AM167880.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade III,Vahlkampfiidae,Naegleria,Naegleria clarki,isolate,NA,NA,NA,NA,NA,Short-term sequence evolution and vertical inheritance of the Naegleria twin-ribozyme group I intron,"Wikmark,O.G., Einvik,C., De Jonckheere,J.F. and Johansen,S.D.",Unpublished,Naegleria clarki,NA,NA,NA,NA,Short-term sequence evolution and vertical inheritance of the Naegleria twin-ribozyme group I intron,"Wikmark,O.G., Einvik,C., De Jonckheere,J.F. and Johansen,S.D.",Unpublished
AM167883.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade III,Vahlkampfiidae,Naegleria,Naegleria sp. NG358,isolate,NA,NA,NA,NA,NA,Short-term sequence evolution and vertical inheritance of the Naegleria twin-ribozyme group I intron,"Wikmark,O.G., Einvik,C., De Jonckheere,J.F. and Johansen,S.D.",Unpublished,Naegleria sp. NG358,NA,NA,NA,NA,Short-term sequence evolution and vertical inheritance of the Naegleria twin-ribozyme group I intron,"Wikmark,O.G., Einvik,C., De Jonckheere,J.F. and Johansen,S.D.",Unpublished
AY266314.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade III,Vahlkampfiidae,Naegleria,Naegleria gruberi,isolate,NA,NA,free-living,NA,NA,Broad-range PCR targeting the 18S rRNA gene for the identification of protists isolated from hospital water network,"Greub,G., Drancourt,M. and Raoult,D.",Unpublished,Naegleria gruberi,NA,NA,NA,NA,Broad-range PCR targeting the 18S rRNA gene for the identification of protists isolated from hospital water network,"Greub,G., Drancourt,M. and Raoult,D.",Unpublished
AY321362.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade III,Vahlkampfiidae,Naegleria,Naegleria australiensis,isolate,NA,NA,parasite (facultative),NA,Japan,Occurrence and distribution of Naegleria species in the thermal waters of Japan,"Yagita,K., Karasudani,T., Furushima-Shimogawara,R., Asakura,T., Izumiyama,S. and Endo,T.",Unpublished,Naegleria australiensis,NA,NA,NA,Japan,Occurrence and distribution of Naegleria species in the thermal waters of Japan,"Yagita,K., Karasudani,T., Furushima-Shimogawara,R., Asakura,T., Izumiyama,S. and Endo,T.",Unpublished
AY376149.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade III,Vahlkampfiidae,Naegleria,Naegleria fowleri,isolate,cerebrospinal fluid (UBERON:0001359),human-associated environment (ENVO missing),parasite (facultative),Homo sapiens,USA: California,Genetic variations in the internal transcribed spacer and mitochondrial small subunit rRNA gene of Naegleria spp,"Zhou,L., Sriram,R., Visvesvara,G.S. and Xiao,L.","J. Eukaryot. Microbiol. 50 (SUPPL), 522-526 (2003)",Naegleria fowleri,NA,"male, cerebro-spinal fluid",NA,USA: California,Genetic variations in the internal transcribed spacer and mitochondrial small subunit rRNA gene of Naegleria spp,"Zhou,L., Sriram,R., Visvesvara,G.S. and Xiao,L.","J. Eukaryot. Microbiol. 50 (SUPPL), 522-526 (2003)"
AY376150.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade III,Vahlkampfiidae,Naegleria,Naegleria fowleri,isolate,water (ENVO:00002006),NA,parasite (facultative),NA,USA: Arizona,Genetic variations in the internal transcribed spacer and mitochondrial small subunit rRNA gene of Naegleria spp,"Zhou,L., Sriram,R., Visvesvara,G.S. and Xiao,L.","J. Eukaryot. Microbiol. 50 (SUPPL), 522-526 (2003)",Naegleria fowleri,NA,water,NA,USA: Arizona,Genetic variations in the internal transcribed spacer and mitochondrial small subunit rRNA gene of Naegleria spp,"Zhou,L., Sriram,R., Visvesvara,G.S. and Xiao,L.","J. Eukaryot. Microbiol. 50 (SUPPL), 522-526 (2003)"
AY376151.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade III,Vahlkampfiidae,Naegleria,Naegleria lovaniensis,isolate,NA,NA,NA,NA,Belgium,Genetic variations in the internal transcribed spacer and mitochondrial small subunit rRNA gene of Naegleria spp,"Zhou,L., Sriram,R., Visvesvara,G.S. and Xiao,L.","J. Eukaryot. Microbiol. 50 (SUPPL), 522-526 (2003)",Naegleria lovaniensis,NA,NA,NA,NA,Genetic variations in the internal transcribed spacer and mitochondrial small subunit rRNA gene of Naegleria spp,"Zhou,L., Sriram,R., Visvesvara,G.S. and Xiao,L.","J. Eukaryot. Microbiol. 50 (SUPPL), 522-526 (2003)"
AY496006.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade III,Vahlkampfiidae,Naegleria,Naegleria sp. W2,isolate,NA,freshwater lake (ENVO:00000021),free-living,NA,China,"Feeding characteristics of an amoeba (Lobosea: Naegleria) grazing upon cyanobacteria: food selection, ingestion and digestion progress","Xinyao,L., Miao,S., Yonghong,L., Yin,G., Zhongkai,Z., Donghui,W., Weizhong,W. and Chencai,A.","Microb. Ecol. 51 (3), 315-325 (2006)",Naegleria sp. W2,NA,NA,NA,"China: Dianchi Lake, Yunnan Province","Feeding characteristics of an amoeba (Lobosea: Naegleria) grazing upon cyanobacteria: food selection, ingestion and digestion progress","Xinyao,L., Miao,S., Yonghong,L., Yin,G., Zhongkai,Z., Donghui,W., Weizhong,W. and Chencai,A.","Microb. Ecol. 51 (3), 315-325 (2006)"
AY576366.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade III,Vahlkampfiidae,Naegleria,Naegleria sp. 550,isolate,NA,NA,NA,NA,NA,"Protozoan predation, diversifying selection, and the evolution of antigenic diversity in Salmonella","Wildschutte,H., Wolfe,D.M., Tamewitz,A. and Lawrence,J.G.","Proc. Natl. Acad. Sci. U.S.A. 101 (29), 10644-10649 (2004)",Naegleria sp. 550,NA,NA,NA,NA,"Protozoan predation, diversifying selection, and the evolution of antigenic diversity in Salmonella","Wildschutte,H., Wolfe,D.M., Tamewitz,A. and Lawrence,J.G.","Proc. Natl. Acad. Sci. U.S.A. 101 (29), 10644-10649 (2004)"
AY576367.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade III,Vahlkampfiidae,Naegleria,Naegleria sp. 552,isolate,NA,NA,NA,NA,NA,"Protozoan predation, diversifying selection, and the evolution of antigenic diversity in Salmonella","Wildschutte,H., Wolfe,D.M., Tamewitz,A. and Lawrence,J.G.","Proc. Natl. Acad. Sci. U.S.A. 101 (29), 10644-10649 (2004)",Naegleria sp. 552,NA,NA,NA,NA,"Protozoan predation, diversifying selection, and the evolution of antigenic diversity in Salmonella","Wildschutte,H., Wolfe,D.M., Tamewitz,A. and Lawrence,J.G.","Proc. Natl. Acad. Sci. U.S.A. 101 (29), 10644-10649 (2004)"
DQ423743.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade III,Vahlkampfiidae,Naegleria,SAWY447,environmental,biofilm (ENVO:01000156),acid mine drainage (ENVO:00001997),free-living,NA,NA,Insights into the diversity of eukaryotes in acid mine drainage biofilm communities,"Baker,B.J., Tyson,G.W., Goosherst,L. and Banfield,J.F.","Appl. Environ. Microbiol. 75 (7), 2192-2199 (2009)",uncultured Vahlkampfiidae,SAWY447,IM acid mine drainage,NA,NA,Insights into the diversity of eukaryotes in acid mine drainage biofilm communities,"Baker,B.J., Tyson,G.W., Goosherst,L. and Banfield,J.F.","Appl. Environ. Microbiol. 75 (7), 2192-2199 (2009)"
DQ768714.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade III,Vahlkampfiidae,Naegleria,Naegleria pagei,isolate,liver (UBERON:0002107),animal-associated environment (ENVO:01001002),NA,Abramis brama,Czech Republic,Fish-isolated Naegleria strains and their phylogeny inferred from ITS and SSU rDNA sequences,"Dykova,I., Peckova,H., Fiala,I. and Dvorakova,H.","Folia Parasitol. 53 (3), 172-180 (2006)",Naegleria pagei,NA,liver,Abramis brama,Czech Republic: Vysatov pond,Fish-isolated Naegleria strains and their phylogeny inferred from ITS and SSU rDNA sequences,"Dykova,I., Peckova,H., Fiala,I. and Dvorakova,H.","Folia Parasitol. 53 (3), 172-180 (2006)"
DQ768715.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade III,Vahlkampfiidae,Naegleria,Naegleria sp. CL/I,isolate,brain (UBERON:0000955),animal-associated environment (ENVO:01001002),NA,Corydoras leucomelas,NA,Fish-isolated Naegleria strains and their phylogeny inferred from ITS and SSU rDNA sequences,"Dykova,I., Peckova,H., Fiala,I. and Dvorakova,H.","Folia Parasitol. 53 (3), 172-180 (2006)",Naegleria sp. CL/I,NA,brain,Corydoras leucomelas,NA,Fish-isolated Naegleria strains and their phylogeny inferred from ITS and SSU rDNA sequences,"Dykova,I., Peckova,H., Fiala,I. and Dvorakova,H.","Folia Parasitol. 53 (3), 172-180 (2006)"
DQ768716.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade III,Vahlkampfiidae,Naegleria,Naegleria sp. BCZ4/I,isolate,respiration organ (UBERON:0000171),animal-associated environment (ENVO:01001002),NA,Bunocephalus coracoideus,NA,Fish-isolated Naegleria strains and their phylogeny inferred from ITS and SSU rDNA sequences,"Dykova,I., Peckova,H., Fiala,I. and Dvorakova,H.","Folia Parasitol. 53 (3), 172-180 (2006)",Naegleria sp. BCZ4/I,NA,gills,Bunocephalus coracoideus,NA,Fish-isolated Naegleria strains and their phylogeny inferred from ITS and SSU rDNA sequences,"Dykova,I., Peckova,H., Fiala,I. and Dvorakova,H.","Folia Parasitol. 53 (3), 172-180 (2006)"
DQ768717.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade III,Vahlkampfiidae,Naegleria,Naegleria sp. S1Z/I,isolate,respiration organ (UBERON:0000171),animal-associated environment (ENVO:01001002),NA,Esox lucius,Czech Republic,Fish-isolated Naegleria strains and their phylogeny inferred from ITS and SSU rDNA sequences,"Dykova,I., Peckova,H., Fiala,I. and Dvorakova,H.","Folia Parasitol. 53 (3), 172-180 (2006)",Naegleria sp. S1Z/I,NA,gills,Esox lucius,Czech Republic: Rozmberk pond,Fish-isolated Naegleria strains and their phylogeny inferred from ITS and SSU rDNA sequences,"Dykova,I., Peckova,H., Fiala,I. and Dvorakova,H.","Folia Parasitol. 53 (3), 172-180 (2006)"
DQ768718.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade III,Vahlkampfiidae,Naegleria,Naegleria sp. O3Z/I,isolate,respiration organ (UBERON:0000171),animal-associated environment (ENVO:01001002),NA,Perca fluviatilis,Czech Republic,Fish-isolated Naegleria strains and their phylogeny inferred from ITS and SSU rDNA sequences,"Dykova,I., Peckova,H., Fiala,I. and Dvorakova,H.","Folia Parasitol. 53 (3), 172-180 (2006)",Naegleria sp. O3Z/I,NA,gills,Perca fluviatilis,Czech Republic: Svet pond,Fish-isolated Naegleria strains and their phylogeny inferred from ITS and SSU rDNA sequences,"Dykova,I., Peckova,H., Fiala,I. and Dvorakova,H.","Folia Parasitol. 53 (3), 172-180 (2006)"
DQ768719.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade III,Vahlkampfiidae,Naegleria,Naegleria fultoni,isolate,liver (UBERON:0002107),animal-associated environment (ENVO:01001002),NA,Rutilus rutilus,Czech Republic,Fish-isolated Naegleria strains and their phylogeny inferred from ITS and SSU rDNA sequences,"Dykova,I., Peckova,H., Fiala,I. and Dvorakova,H.","Folia Parasitol. 53 (3), 172-180 (2006)",Naegleria fultoni,NA,liver,Rutilus rutilus,Czech Republic: Luznice River,Fish-isolated Naegleria strains and their phylogeny inferred from ITS and SSU rDNA sequences,"Dykova,I., Peckova,H., Fiala,I. and Dvorakova,H.","Folia Parasitol. 53 (3), 172-180 (2006)"
DQ768720.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade III,Vahlkampfiidae,Naegleria,Naegleria sp. RR13Z/I,isolate,respiration organ (UBERON:0000171),animal-associated environment (ENVO:01001002),NA,Rutilus rutilus,Czech Republic,Fish-isolated Naegleria strains and their phylogeny inferred from ITS and SSU rDNA sequences,"Dykova,I., Peckova,H., Fiala,I. and Dvorakova,H.","Folia Parasitol. 53 (3), 172-180 (2006)",Naegleria sp. RR13Z/I,NA,gills,Rutilus rutilus,Czech Republic: Novohradsky pond,Fish-isolated Naegleria strains and their phylogeny inferred from ITS and SSU rDNA sequences,"Dykova,I., Peckova,H., Fiala,I. and Dvorakova,H.","Folia Parasitol. 53 (3), 172-180 (2006)"
DQ768721.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade III,Vahlkampfiidae,Naegleria,Naegleria pagei,isolate,kidney (UBERON:0002113),animal-associated environment (ENVO:01001002),NA,Salmo trutta fario,Czech Republic,Fish-isolated Naegleria strains and their phylogeny inferred from ITS and SSU rDNA sequences,"Dykova,I., Peckova,H., Fiala,I. and Dvorakova,H.","Folia Parasitol. 53 (3), 172-180 (2006)",Naegleria pagei,NA,kidneys,Salmo trutta fario,Czech Republic: Libechovka brook,Fish-isolated Naegleria strains and their phylogeny inferred from ITS and SSU rDNA sequences,"Dykova,I., Peckova,H., Fiala,I. and Dvorakova,H.","Folia Parasitol. 53 (3), 172-180 (2006)"
DQ768722.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade III,Vahlkampfiidae,Naegleria,Naegleria sp. RR11Z/I,isolate,respiration organ (UBERON:0000171),animal-associated environment (ENVO:01001002),NA,Rutilus rutilus,Czech Republic,Fish-isolated Naegleria strains and their phylogeny inferred from ITS and SSU rDNA sequences,"Dykova,I., Peckova,H., Fiala,I. and Dvorakova,H.","Folia Parasitol. 53 (3), 172-180 (2006)",Naegleria sp. RR11Z/I,NA,gills,Rutilus rutilus,Czech Republic: Novohaklovsky pond,Fish-isolated Naegleria strains and their phylogeny inferred from ITS and SSU rDNA sequences,"Dykova,I., Peckova,H., Fiala,I. and Dvorakova,H.","Folia Parasitol. 53 (3), 172-180 (2006)"
DQ768723.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade III,Vahlkampfiidae,Naegleria,Naegleria sp. SUM3V/I,isolate,skin environment (ENVO:2100003),animal-associated environment (ENVO:01001002),NA,Silurus glanis,Czech Republic,Fish-isolated Naegleria strains and their phylogeny inferred from ITS and SSU rDNA sequences,"Dykova,I., Peckova,H., Fiala,I. and Dvorakova,H.","Folia Parasitol. 53 (3), 172-180 (2006)",Naegleria sp. SUM3V/I,NA,skin lesions,Silurus glanis,Czech Republic: Elbe River tributary,Fish-isolated Naegleria strains and their phylogeny inferred from ITS and SSU rDNA sequences,"Dykova,I., Peckova,H., Fiala,I. and Dvorakova,H.","Folia Parasitol. 53 (3), 172-180 (2006)"
DQ768724.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade III,Vahlkampfiidae,Naegleria,Naegleria sp. GP3/III,isolate,respiration organ (UBERON:0000171),animal-associated environment (ENVO:01001002),NA,Gnathonemus petersii,NA,Fish-isolated Naegleria strains and their phylogeny inferred from ITS and SSU rDNA sequences,"Dykova,I., Peckova,H., Fiala,I. and Dvorakova,H.","Folia Parasitol. 53 (3), 172-180 (2006)",Naegleria sp. GP3/III,NA,gills,Gnathonemus petersii,NA,Fish-isolated Naegleria strains and their phylogeny inferred from ITS and SSU rDNA sequences,"Dykova,I., Peckova,H., Fiala,I. and Dvorakova,H.","Folia Parasitol. 53 (3), 172-180 (2006)"
