accession,taxon_1,taxon_2,taxon_3,taxon_4,taxon_5,taxon_6,taxon_7,taxon_8,taxon_9,name,source,env_material,env_biome,biotic_relationship,specific_host,host_name,geo_loc_name,publication,authors,journal,organism_gb,clone_gb,environment_gb,host_gb,country_gb,publication_gb,authors_gb,journal_gb
AF215858,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Joenia,Joenia,Joenia,Kalotermes flavicollis gut symbiont clone Kf6,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,256709,Kalotermes flavicollis,France: Banyuls-sur-mer,Phylogenetic position of parabasalid symbionts from the termite Kalotermes flavicollis based on small subunit rRNA sequences,"Gerbod,D., Edgcomb,V.P., Noel,C., Delgado-Viscogliosi,P., Sogin,M.L. and Viscogliosi,E.",Unpublished,Kalotermes flavicollis gut symbiont clone Kf6,NA,NA,NA,NA,Phylogenetic position of parabasalid symbionts from the termite Kalotermes flavicollis based on small subunit rRNA sequences,"Gerbod,D., Edgcomb,V.P., Noel,C., Delgado-Viscogliosi,P., Sogin,M.L. and Viscogliosi,E.",Unpublished
AB458856,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Joenoides,Joenoides,Joenoides intermedia,Joenoides intermedia,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,187541,Hodotermes mossambicus,Kenya,Molecular phylogeny of parabasalids with emphasis on the order Cristamonadida and its complex morphological evolution,"Noda,S., Mantini,C., Bordereau,C., Kitade,O., Dolan,M.F., Viscogliosi,E. and Ohkuma,M.",Mol. Phylogenet. Evol. (2009) In press,Joenoides intermedia,HmJS2,NA,Hodotermes mossambicus,NA,Molecular phylogeny of parabasalids with emphasis on the order Cristamonadida and its complex morphological evolution,"Noda,S., Mantini,C., Bordereau,C., Kitade,O., Dolan,M.F., Viscogliosi,E. and Ohkuma,M.",Mol. Phylogenet. Evol. (2009) In press
KJ493790,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Cristamonadida,Cristamonadida,Cristamonadida,Macrotrichomonas lightii,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,1507049,Paraneotermes simplicicornis,USA: Texas: Terlingua,Molecular Evidence for the Polyphyly of Macrotrichomonas (Parabasalia: Cristamonadea) and a Proposal for Macrotrichomonoides n. gen.,"Gile,G.H., James,E.R., Okamoto,N., Carpenter,K.J., Scheffrahn,R.H. and Keeling,P.J.",J. Eukaryot. Microbiol. (2015) In press,Macrotrichomonas lightii,NA,NA,Paraneotermes simplicicornis,NA,Molecular Evidence for the Polyphyly of Macrotrichomonas (Parabasalia: Cristamonadea) and a Proposal for Macrotrichomonoides n. gen.,"Gile,G.H., James,E.R., Okamoto,N., Carpenter,K.J., Scheffrahn,R.H. and Keeling,P.J.",J. Eukaryot. Microbiol. (2015) In press
FM160643,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Cristamonadida,Cristamonadida,Cristamonadida,Metadevescovina modica,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,529878,Incisitermes marginipennis,NA,The true diversity of devescovinid flagellates in the termite Incisitermes marginipennis,"Strassert,J.F., Desai,M.S., Brune,A. and Radek,R.","Protist 160 (4), 522-535 (2009)",Metadevescovina modica,ImDev12,NA,Incisitermes marginipennis,NA,The true diversity of devescovinid flagellates in the termite Incisitermes marginipennis,"Strassert,J.F., Desai,M.S., Brune,A. and Radek,R.","Protist 160 (4), 522-535 (2009)"
FM160644,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Cristamonadida,Cristamonadida,Cristamonadida,Metadevescovina modica,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,529878,Incisitermes marginipennis,NA,The true diversity of devescovinid flagellates in the termite Incisitermes marginipennis,"Strassert,J.F., Desai,M.S., Brune,A. and Radek,R.","Protist 160 (4), 522-535 (2009)",Metadevescovina modica,GhImp43,NA,Incisitermes marginipennis,NA,The true diversity of devescovinid flagellates in the termite Incisitermes marginipennis,"Strassert,J.F., Desai,M.S., Brune,A. and Radek,R.","Protist 160 (4), 522-535 (2009)"
FM160645,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Cristamonadida,Cristamonadida,Cristamonadida,Metadevescovina modica,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,529878,Incisitermes marginipennis,NA,The true diversity of devescovinid flagellates in the termite Incisitermes marginipennis,"Strassert,J.F., Desai,M.S., Brune,A. and Radek,R.","Protist 160 (4), 522-535 (2009)",Metadevescovina modica,ImDev17,NA,Incisitermes marginipennis,NA,The true diversity of devescovinid flagellates in the termite Incisitermes marginipennis,"Strassert,J.F., Desai,M.S., Brune,A. and Radek,R.","Protist 160 (4), 522-535 (2009)"
FM956077,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Cristamonadida,Cristamonadida,Cristamonadida,Metadevescovina modica,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,529878,Incisitermes marginipennis,NA,The true diversity of devescovinid flagellates in the termite Incisitermes marginipennis,"Strassert,J.F., Desai,M.S., Brune,A. and Radek,R.","Protist 160 (4), 522-535 (2009)",Metadevescovina modica,GhImp12,NA,Incisitermes marginipennis,NA,The true diversity of devescovinid flagellates in the termite Incisitermes marginipennis,"Strassert,J.F., Desai,M.S., Brune,A. and Radek,R.","Protist 160 (4), 522-535 (2009)"
FM956078,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Cristamonadida,Cristamonadida,Cristamonadida,Metadevescovina modica,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,529878,Incisitermes marginipennis,NA,The true diversity of devescovinid flagellates in the termite Incisitermes marginipennis,"Strassert,J.F., Desai,M.S., Brune,A. and Radek,R.","Protist 160 (4), 522-535 (2009)",Metadevescovina modica,GhImp22,NA,Incisitermes marginipennis,NA,The true diversity of devescovinid flagellates in the termite Incisitermes marginipennis,"Strassert,J.F., Desai,M.S., Brune,A. and Radek,R.","Protist 160 (4), 522-535 (2009)"
FM956079,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Cristamonadida,Cristamonadida,Cristamonadida,Metadevescovina modica,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,529878,Incisitermes marginipennis,NA,The true diversity of devescovinid flagellates in the termite Incisitermes marginipennis,"Strassert,J.F., Desai,M.S., Brune,A. and Radek,R.","Protist 160 (4), 522-535 (2009)",Metadevescovina modica,GhImp23,NA,Incisitermes marginipennis,NA,The true diversity of devescovinid flagellates in the termite Incisitermes marginipennis,"Strassert,J.F., Desai,M.S., Brune,A. and Radek,R.","Protist 160 (4), 522-535 (2009)"
FM956080,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Cristamonadida,Cristamonadida,Cristamonadida,Metadevescovina modica,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,529878,Incisitermes marginipennis,NA,The true diversity of devescovinid flagellates in the termite Incisitermes marginipennis,"Strassert,J.F., Desai,M.S., Brune,A. and Radek,R.","Protist 160 (4), 522-535 (2009)",Metadevescovina modica,ImDev07,NA,Incisitermes marginipennis,NA,The true diversity of devescovinid flagellates in the termite Incisitermes marginipennis,"Strassert,J.F., Desai,M.S., Brune,A. and Radek,R.","Protist 160 (4), 522-535 (2009)"
FM956081,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Cristamonadida,Cristamonadida,Cristamonadida,Metadevescovina modica,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,529878,Incisitermes marginipennis,NA,The true diversity of devescovinid flagellates in the termite Incisitermes marginipennis,"Strassert,J.F., Desai,M.S., Brune,A. and Radek,R.","Protist 160 (4), 522-535 (2009)",Metadevescovina modica,ImDev16,NA,Incisitermes marginipennis,NA,The true diversity of devescovinid flagellates in the termite Incisitermes marginipennis,"Strassert,J.F., Desai,M.S., Brune,A. and Radek,R.","Protist 160 (4), 522-535 (2009)"
U17506,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Cristamonadida,Cristamonadida,Cristamonadida,Metadevescovina polyspira,culture,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,NA,Pterotermes occidentis,NA,Phylogeny of trichomonads inferred from small-subunit rRNA sequences,"Gunderson,J., Hinkle,G., Leipe,D., Morrison,H.G., Stickel,S.K., Odelson,D.A., Breznak,J.A., Nerad,T.A., Muller,M. and Sogin,M.L.","J. Eukaryot. Microbiol. 42 (4), 411-415 (1995)",Metadevescovina polyspira,NA,NA,Pterotermes occidentis,NA,Phylogeny of trichomonads inferred from small-subunit rRNA sequences,"Gunderson,J., Hinkle,G., Leipe,D., Morrison,H.G., Stickel,S.K., Odelson,D.A., Breznak,J.A., Nerad,T.A., Muller,M. and Sogin,M.L.","J. Eukaryot. Microbiol. 42 (4), 411-415 (1995)"
KJ493792,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Cristamonadida,Cristamonadida,Cristamonadida,Metadevescovina sp. 1 GG-2014,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,641614,Neotermes jouteli,USA: Florida: Monroe County,Molecular Evidence for the Polyphyly of Macrotrichomonas (Parabasalia: Cristamonadea) and a Proposal for Macrotrichomonoides n. gen.,"Gile,G.H., James,E.R., Okamoto,N., Carpenter,K.J., Scheffrahn,R.H. and Keeling,P.J.",J. Eukaryot. Microbiol. (2015) In press,Metadevescovina sp. 1 GG-2014,NA,NA,Neotermes jouteli,NA,Molecular Evidence for the Polyphyly of Macrotrichomonas (Parabasalia: Cristamonadea) and a Proposal for Macrotrichomonoides n. gen.,"Gile,G.H., James,E.R., Okamoto,N., Carpenter,K.J., Scheffrahn,R.H. and Keeling,P.J.",J. Eukaryot. Microbiol. (2015) In press
KJ493793,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Cristamonadida,Cristamonadida,Cristamonadida,Metadevescovina sp. 2 GG-2014,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,641614,Neotermes jouteli,USA: Florida: Monroe County,Molecular Evidence for the Polyphyly of Macrotrichomonas (Parabasalia: Cristamonadea) and a Proposal for Macrotrichomonoides n. gen.,"Gile,G.H., James,E.R., Okamoto,N., Carpenter,K.J., Scheffrahn,R.H. and Keeling,P.J.",J. Eukaryot. Microbiol. (2015) In press,Metadevescovina sp. 2 GG-2014,NA,NA,Neotermes jouteli,NA,Molecular Evidence for the Polyphyly of Macrotrichomonas (Parabasalia: Cristamonadea) and a Proposal for Macrotrichomonoides n. gen.,"Gile,G.H., James,E.R., Okamoto,N., Carpenter,K.J., Scheffrahn,R.H. and Keeling,P.J.",J. Eukaryot. Microbiol. (2015) In press
AB183884,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Cristamonadida,Cristamonadida,Cristamonadida,Incisitermes minor parabasalian symbiont Im3,environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,112481,Incisitermes minor,Japan: Okayama,"Molecular phylogeny of parabasalids inferred from small subunit rRNA sequences, with emphasis on the Hypermastigea","Ohkuma,M., Iida,T., Ohtoko,K., Yuzawa,H., Noda,S., Viscogliosi,E. and Kudo,T.","Mol. Phylogenet. Evol. 35 (3), 646-655 (2005)",uncultured parabasalid eukaryote,Im3,The gut microbial community of the termite Incisitermes minor,Incisitermes minor,NA,"Molecular phylogeny of parabasalids inferred from small subunit rRNA sequences, with emphasis on the Hypermastigea","Ohkuma,M., Iida,T., Ohtoko,K., Yuzawa,H., Noda,S., Viscogliosi,E. and Kudo,T.","Mol. Phylogenet. Evol. 35 (3), 646-655 (2005)"
AB183885,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Cristamonadida,Cristamonadida,Cristamonadida,Incisitermes minor parabasalian symbiont Im28,environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,112481,Incisitermes minor,Japan: Okayama,"Molecular phylogeny of parabasalids inferred from small subunit rRNA sequences, with emphasis on the Hypermastigea","Ohkuma,M., Iida,T., Ohtoko,K., Yuzawa,H., Noda,S., Viscogliosi,E. and Kudo,T.","Mol. Phylogenet. Evol. 35 (3), 646-655 (2005)",uncultured parabasalid eukaryote,Im28,The gut microbial community of the termite Incisitermes minor,Incisitermes minor,NA,"Molecular phylogeny of parabasalids inferred from small subunit rRNA sequences, with emphasis on the Hypermastigea","Ohkuma,M., Iida,T., Ohtoko,K., Yuzawa,H., Noda,S., Viscogliosi,E. and Kudo,T.","Mol. Phylogenet. Evol. 35 (3), 646-655 (2005)"
KJ493791,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Cristamonadida,Cristamonadida,Cristamonadida,Macrotrichomonoides restis,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,641614,Neotermes jouteli,USA: Florida: Monroe County,Molecular Evidence for the Polyphyly of Macrotrichomonas (Parabasalia: Cristamonadea) and a Proposal for Macrotrichomonoides n. gen.,"Gile,G.H., James,E.R., Okamoto,N., Carpenter,K.J., Scheffrahn,R.H. and Keeling,P.J.",J. Eukaryot. Microbiol. (2015) In press,Macrotrichomonoides restis,NA,NA,Neotermes jouteli,NA,Molecular Evidence for the Polyphyly of Macrotrichomonas (Parabasalia: Cristamonadea) and a Proposal for Macrotrichomonoides n. gen.,"Gile,G.H., James,E.R., Okamoto,N., Carpenter,K.J., Scheffrahn,R.H. and Keeling,P.J.",J. Eukaryot. Microbiol. (2015) In press
FN377804,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Cristamonadida,Cristamonadida,Cristamonadida,Neotermes jouteli parabasalian symbiont clone NjGh14,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,641614,Neotermes jouteli,USA: Florida,Strict cospeciation of devescovinid flagellates and Bacteroidales ectosymbionts in the gut of dry-wood termites (Kalotermitidae),"Desai,M.S., Strassert,J.F., Meuser,K., Hertel,H., Ikeda-Ohtsubo,W., Radek,R. and Brune,A.",Environ. Microbiol. (2009) In press,Neotermes jouteli parabasalian symbiont clone NjGh14,NA,NA,Neotermes jouteli,NA,Strict cospeciation of devescovinid flagellates and Bacteroidales ectosymbionts in the gut of dry-wood termites (Kalotermitidae),"Desai,M.S., Strassert,J.F., Meuser,K., Hertel,H., Ikeda-Ohtsubo,W., Radek,R. and Brune,A.",Environ. Microbiol. (2009) In press
AB183886,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Cristamonadida,Cristamonadida,Cristamonadida,Incisitermes minor parabasalian symbiont Im25,environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,112481,Incisitermes minor,Japan: Okayama,"Molecular phylogeny of parabasalids inferred from small subunit rRNA sequences, with emphasis on the Hypermastigea","Ohkuma,M., Iida,T., Ohtoko,K., Yuzawa,H., Noda,S., Viscogliosi,E. and Kudo,T.","Mol. Phylogenet. Evol. 35 (3), 646-655 (2005)",uncultured parabasalid eukaryote,Im25,The gut microbial community of the termite Incisitermes minor,Incisitermes minor,NA,"Molecular phylogeny of parabasalids inferred from small subunit rRNA sequences, with emphasis on the Hypermastigea","Ohkuma,M., Iida,T., Ohtoko,K., Yuzawa,H., Noda,S., Viscogliosi,E. and Kudo,T.","Mol. Phylogenet. Evol. 35 (3), 646-655 (2005)"
X87132,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Cristamonadida,Cristamonadida,Cristamonadida,Mastotermes darwiniensis parabasalian symbiont PM15 (Metadevescovina extranea),environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,13139,Mastotermes darwiniensis,Australia,Phylogenetic position of the two uncultivated trichomonads Pentatrichomonoides scroa Kirby and Metadevescovina extranea Kirby from the hindgut of the termite Mastotermes darwiniensis Froggatt,"Berchtold,M. and Koenig,H.","Syst. Appl. Microbiol. 18, 567-573 (1995)",Metadevescovina extranea,PM15,NA,NA,NA,Phylogenetic position of the two uncultivated trichomonads Pentatrichomonoides scroa Kirby and Metadevescovina extranea Kirby from the hindgut of the termite Mastotermes darwiniensis Froggatt,"Berchtold,M. and Koenig,H.","Syst. Appl. Microbiol. 18, 567-573 (1995)"
AJ583377,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Mixotricha,Mixotricha,Mixotricha paradoxa,Mixotricha paradoxa,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,13139,Mastotermes darwiniensis,Australia,Molecular phylogeny of the large uncultivated protozoa from the hindgut of the termite Mastotermes darwiniensis,"Froehlich,J.E., Li,L., Hirschhaeuser,S., Berchtold,M., Wenzel,M. and Koenig,H.",Unpublished,Mixotricha paradoxa,NA,NA,Mastotermes darwiniensis,Australia,Molecular phylogeny of the large uncultivated protozoa from the hindgut of the termite Mastotermes darwiniensis,"Froehlich,J.E., Li,L., Hirschhaeuser,S., Berchtold,M., Wenzel,M. and Koenig,H.",Unpublished
AB458855,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Cristamonadida,Cristamonadida,Cristamonadida,Joenina pulchella,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,105774,Porotermes adamsoni,Australia,Molecular phylogeny of parabasalids with emphasis on the order Cristamonadida and its complex morphological evolution,"Noda,S., Mantini,C., Bordereau,C., Kitade,O., Dolan,M.F., Viscogliosi,E. and Ohkuma,M.",Mol. Phylogenet. Evol. (2009) In press,Joenina pulchella,PaJS2,NA,Porotermes adamsoni,NA,Molecular phylogeny of parabasalids with emphasis on the order Cristamonadida and its complex morphological evolution,"Noda,S., Mantini,C., Bordereau,C., Kitade,O., Dolan,M.F., Viscogliosi,E. and Ohkuma,M.",Mol. Phylogenet. Evol. (2009) In press
AF052701,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Cristamonadida,Cristamonadida,Cristamonadida,Porotermes adamsoni parabasalian symbiont 77090,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,105774,Porotermes adamsoni,Australia: Victoria: Cathedral Ranges,"Phylogenetic diversity of parabasalian symbionts from termites, including the phylogenetic position of Pseudotrypanosoma and Trichonympha","Keeling,P.J., Poulsen,N. and McFadden,G.I.","J. Eukaryot. Microbiol. 45 (6), 643-650 (1998)",Porotermes symbiont 77090,NA,NA,NA,NA,"Phylogenetic diversity of parabasalian symbionts from termites, including the phylogenetic position of Pseudotrypanosoma and Trichonympha","Keeling,P.J., Poulsen,N. and McFadden,G.I.","J. Eukaryot. Microbiol. 45 (6), 643-650 (1998)"
AF052702,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Cristamonadida,Cristamonadida,Cristamonadida,Porotermes adamsoni parabasalian symbiont 77090,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,105774,Porotermes adamsoni,Australia: Victoria: Cathedral Ranges,"Phylogenetic diversity of parabasalian symbionts from termites, including the phylogenetic position of Pseudotrypanosoma and Trichonympha","Keeling,P.J., Poulsen,N. and McFadden,G.I.","J. Eukaryot. Microbiol. 45 (6), 643-650 (1998)",Porotermes symbiont 77090,NA,NA,NA,NA,"Phylogenetic diversity of parabasalian symbionts from termites, including the phylogenetic position of Pseudotrypanosoma and Trichonympha","Keeling,P.J., Poulsen,N. and McFadden,G.I.","J. Eukaryot. Microbiol. 45 (6), 643-650 (1998)"
JX975353,Eukaryota,Excavata,Metamonada,Parabasalia,Trichomonadea,Honigbergiellida,Calcaritermes nearcticus Trichomonadea symbiont ERJ-2013,Calcaritermes nearcticus Trichomonadea symbiont ERJ-2013,Calcaritermes nearcticus Trichomonadea symbiont ERJ-2013,Calcaritermes nearcticus parabasalian symbiont ERJ-2013,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,931985,Calcaritermes nearcticus,Florida: USA,"Cthulhu Macrofasciculumque n. g., n. sp. and Cthylla Microfasciculumque n. g., n. sp., a Newly Identified Lineage of Parabasalian Termite Symbionts","James,E.R., Okamoto,N., Burki,F., Scheffrahn,R.H. and Keeling,P.J.","PLoS ONE 8 (3), E58509 (2013)",Calcaritermes nearcticus parabasalian symbiont ERJ-2013,NA,NA,Calcaritermes nearcticus,NA,"Cthulhu Macrofasciculumque n. g., n. sp. and Cthylla Microfasciculumque n. g., n. sp., a Newly Identified Lineage of Parabasalian Termite Symbionts","James,E.R., Okamoto,N., Burki,F., Scheffrahn,R.H. and Keeling,P.J.","PLoS ONE 8 (3), E58509 (2013)"
AB443597,Eukaryota,Excavata,Metamonada,Parabasalia,Trichomonadea,Honigbergiellida,Cryptocercus punctulatus Honigbergiellida symbiont Cp01,Cryptocercus punctulatus Honigbergiellida symbiont Cp01,Cryptocercus punctulatus Honigbergiellida symbiont Cp01,Cryptocercus punctulatus parabasalian symbiont Cp01,environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,36984,Cryptocercus punctulatus,USA: Appalachian Mountains,Inheritance and diversification of symbiotic trichonymphid flagellates from a common ancestor of termites and the cockroach Cryptocercus,"Ohkuma,M., Noda,S., Hongoh,Y., Nalepa,C.A. and Inoue,T.","Proc. Biol. Sci. 276 (1655), 239-245 (2009)",uncultured parabasalid eukaryote,Cp01,NA,Cryptocercus punctulatus,NA,Inheritance and diversification of symbiotic trichonymphid flagellates from a common ancestor of termites and the cockroach Cryptocercus,"Ohkuma,M., Noda,S., Hongoh,Y., Nalepa,C.A. and Inoue,T.","Proc. Biol. Sci. 276 (1655), 239-245 (2009)"
AB443598,Eukaryota,Excavata,Metamonada,Parabasalia,Trichomonadea,Honigbergiellida,Cryptocercus punctulatus Honigbergiellida symbiont Cp10,Cryptocercus punctulatus Honigbergiellida symbiont Cp10,Cryptocercus punctulatus Honigbergiellida symbiont Cp10,Cryptocercus punctulatus parabasalian symbiont Cp10,environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,36984,Cryptocercus punctulatus,USA: Appalachian Mountains,Inheritance and diversification of symbiotic trichonymphid flagellates from a common ancestor of termites and the cockroach Cryptocercus,"Ohkuma,M., Noda,S., Hongoh,Y., Nalepa,C.A. and Inoue,T.","Proc. Biol. Sci. 276 (1655), 239-245 (2009)",uncultured parabasalid eukaryote,Cp10,NA,Cryptocercus punctulatus,NA,Inheritance and diversification of symbiotic trichonymphid flagellates from a common ancestor of termites and the cockroach Cryptocercus,"Ohkuma,M., Noda,S., Hongoh,Y., Nalepa,C.A. and Inoue,T.","Proc. Biol. Sci. 276 (1655), 239-245 (2009)"
AB032215,Eukaryota,Excavata,Metamonada,Parabasalia,Trichomonadea,Honigbergiellida,Cryptotermes domesticus Honigbergiellida symbiont Cd5,Cryptotermes domesticus Honigbergiellida symbiont Cd5,Cryptotermes domesticus Honigbergiellida symbiont Cd5,Cryptotermes domesticus parabasalian symbiont Cd5,environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,60569,Cryptotermes domesticus,Japan: Iriomote Island,"Phylogenetic identification of hypermastigotes, Pseudotrichonympha, Spirotrichonympha, Holomastigotoides, and parabasalian symbionts in the hindgut of termites","Ohkuma,M., Ohtoko,K., Iida,T., Tokura,M., Moriya,S., Usami,R., Horikoshi,K. and Kudo,T.","J. Eukaryot. Microbiol. 47 (3), 249-259 (2000)",Cryptotermes domesticus parabasalian symbiont clone Cd5,Cd5,NA,Cryptotermes domesticus,NA,"Phylogenetic identification of hypermastigotes, Pseudotrichonympha, Spirotrichonympha, Holomastigotoides, and parabasalian symbionts in the hindgut of termites","Ohkuma,M., Ohtoko,K., Iida,T., Tokura,M., Moriya,S., Usami,R., Horikoshi,K. and Kudo,T.","J. Eukaryot. Microbiol. 47 (3), 249-259 (2000)"
AB032219,Eukaryota,Excavata,Metamonada,Parabasalia,Trichomonadea,Honigbergiellida,Glyptotermes fuscus Honigbergiellida symbiont Gf8,Glyptotermes fuscus Honigbergiellida symbiont Gf9,Glyptotermes fuscus Honigbergiellida symbiont Gf10,Glyptotermes fuscus parabasalian symbiont Gf8,environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,60575,Glyptotermes fuscus,Japan: Okinawa Island,"Phylogenetic identification of hypermastigotes, Pseudotrichonympha, Spirotrichonympha, Holomastigotoides, and parabasalian symbionts in the hindgut of termites","Ohkuma,M., Ohtoko,K., Iida,T., Tokura,M., Moriya,S., Usami,R., Horikoshi,K. and Kudo,T.","J. Eukaryot. Microbiol. 47 (3), 249-259 (2000)",Glyptotermes fuscus parabasalian symbiont clone Gf8,Gf8,NA,Glyptotermes fuscus,NA,"Phylogenetic identification of hypermastigotes, Pseudotrichonympha, Spirotrichonympha, Holomastigotoides, and parabasalian symbionts in the hindgut of termites","Ohkuma,M., Ohtoko,K., Iida,T., Tokura,M., Moriya,S., Usami,R., Horikoshi,K. and Kudo,T.","J. Eukaryot. Microbiol. 47 (3), 249-259 (2000)"
AF052697,Eukaryota,Excavata,Metamonada,Parabasalia,Trichomonadea,Honigbergiellida,Cryptotermes brevis Honigbergiellida symbiont 77086,Cryptotermes brevis Honigbergiellida symbiont 77086,Cryptotermes brevis Honigbergiellida symbiont 77086,Cryptotermes brevis parabasalian symbiont 77086,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,105780,Cryptotermes brevis,NA,"Phylogenetic diversity of parabasalian symbionts from termites, including the phylogenetic position of Pseudotrypanosoma and Trichonympha","Keeling,P.J., Poulsen,N. and McFadden,G.I.","J. Eukaryot. Microbiol. 45 (6), 643-650 (1998)",Cryptotermes brevis symbiont 77086,1,NA,NA,NA,"Phylogenetic diversity of parabasalian symbionts from termites, including the phylogenetic position of Pseudotrypanosoma and Trichonympha","Keeling,P.J., Poulsen,N. and McFadden,G.I.","J. Eukaryot. Microbiol. 45 (6), 643-650 (1998)"
AF052699,Eukaryota,Excavata,Metamonada,Parabasalia,Trichomonadea,Honigbergiellida,Cryptotermes brevis Honigbergiellida symbiont 77088,Cryptotermes brevis Honigbergiellida symbiont 77088,Cryptotermes brevis Honigbergiellida symbiont 77088,Cryptotermes brevis parabasalian symbiont 77088,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,105780,Cryptotermes brevis,NA,"Phylogenetic diversity of parabasalian symbionts from termites, including the phylogenetic position of Pseudotrypanosoma and Trichonympha","Keeling,P.J., Poulsen,N. and McFadden,G.I.","J. Eukaryot. Microbiol. 45 (6), 643-650 (1998)",Cryptotermes brevis symbiont 77088,3,NA,NA,NA,"Phylogenetic diversity of parabasalian symbionts from termites, including the phylogenetic position of Pseudotrypanosoma and Trichonympha","Keeling,P.J., Poulsen,N. and McFadden,G.I.","J. Eukaryot. Microbiol. 45 (6), 643-650 (1998)"
